ID,Credit_Score
510000196907056123,27.11
230000197405163102,27.38
210000200604183633,21.62
34000019640409728X,22.0
340000197902276285,20.32
230000199609291754,53.86
650000196902289746,41.77
410000195802183494,37.04
510000198808090448,25.2
620000199701248807,39.41
140000197804245621,30.96
410000197812010422,45.58
320000197605082886,33.07
110000195103052769,20.62
350000199203306626,4.49
460000199605090376,23.61
120000199811280674,59.08
210000196303202459,54.47
330000197203243589,52.2
460000198712130615,26.5
12000019550705210X,35.52
420000198103074630,38.94
110000196312142298,31.95
44000019591107628X,20.46
500000195608244048,39.31
620000195011159390,28.98
370000196108021075,21.28
440000195003050092,14.77
140000198202056182,22.1
120000198505263206,38.01
320000200005278441,25.64
530000198909167591,25.07
330000199902166999,38.06
520000195705188184,26.21
140000196410108777,30.08
360000195309279236,34.27
320000200610097059,35.39
140000196911253155,24.41
460000197003279711,39.41
51000019511120638X,24.77
500000195503299886,30.82
500000198008286694,13.3
44000019890116655X,26.22
220000199804066008,36.54
610000195308237773,37.78
440000200110235301,37.39
450000199201037040,20.57
320000197901305191,30.71
530000195206175444,28.67
420000197207139211,37.36
110000196107033172,50.36
220000197308279398,56.33
340000196008064451,23.41
150000198106031681,36.39
350000196604062956,24.72
350000196005189947,28.12
320000197504307548,3.28
500000197706219216,31.46
360000198802157746,27.9
150000196602274886,24.2
330000196807096685,53.76
22000019860518092X,20.94
530000197006217303,28.91
630000197312166739,35.13
150000196008088685,29.13
500000197309129276,36.7
310000198812046100,43.4
410000200103249638,21.03
310000195302100046,28.89
530000200406163142,37.21
440000197001206160,30.72
340000200008164726,23.85
440000198312195707,32.06
110000196801229634,11.45
520000195603299334,37.2
23000019970923161X,28.74
54000020000706646X,30.48
110000196203099374,20.73
620000198105195687,12.44
530000197912105899,21.87
540000195210269859,16.01
210000195305201084,23.98
630000199011234477,26.39
530000195005088096,43.14
360000195003184090,26.94
310000195811199689,34.15
140000200503017654,43.19
620000200508147241,16.05
420000197308316643,22.36
340000200204085232,36.67
650000195006062952,31.5
130000199005243184,25.15
120000198009026244,8.61
120000197110121217,50.18
510000197212175761,24.05
430000195308142244,28.09
320000199402148776,17.04
230000199109231050,20.88
340000199306080437,34.88
330000196108073660,20.07
610000196805234201,46.78
23000019630618937X,21.0
540000196802083075,25.51
460000195701213868,23.66
46000019950406016X,21.11
510000199312197633,31.09
540000197711240463,30.77
360000196601305205,38.62
610000195004264772,56.36
640000198907316448,38.51
41000019981014395X,31.87
530000195607016938,24.84
350000197809292872,35.46
610000200602192231,28.83
540000198504225871,29.88
650000196808230684,31.01
510000198009041762,33.55
130000195605230039,31.78
120000196201213024,28.68
450000196608204214,35.08
150000200008104971,33.0
650000196404157089,40.5
340000196910218849,17.88
510000197110140592,24.2
120000195104106687,31.15
320000200010248263,26.79
120000200406222134,39.87
110000197305195564,34.11
520000200509229632,36.01
530000195102074219,33.13
500000196812156998,20.7
360000200206123611,25.58
540000199306059328,13.44
210000200603098023,53.05
650000196104301923,48.23
420000197501263141,31.63
220000195112132707,21.47
210000195406066678,35.32
15000019820908791X,6.5
230000197206176111,28.35
520000195707311588,25.4
420000199209263207,34.31
650000197309044726,34.05
340000198305172036,26.13
360000197302145357,35.37
650000197703059942,27.56
110000199712157740,28.69
640000196402012175,37.29
21000019830813137X,50.86
520000195909301695,23.25
34000020040720107X,30.55
430000199203319718,28.61
450000200203288172,24.89
510000195002119631,1.14
320000195306230384,25.2
510000196404122408,36.32
130000196605199363,26.07
500000195711263183,20.33
630000195708034709,32.44
360000195812249835,58.6
320000196304157376,22.39
540000198003034399,39.71
150000196509178988,36.45
640000198903128183,34.2
370000199208179607,27.63
620000197811203977,33.73
510000200301198310,28.81
110000199309132842,20.55
140000198704135083,3.21
130000195009084741,32.13
520000199901267259,30.74
360000195511106929,33.83
650000199909244720,45.88
340000200611232455,28.76
410000199705276902,29.85
430000195406240147,34.24
230000200312113928,21.98
510000199404150592,30.37
110000197607077360,28.63
350000199209027396,21.04
430000195512092563,24.11
440000199711023392,32.83
420000200204065952,26.49
140000197807244392,14.42
520000196408216315,18.7
630000199710284609,32.49
350000198609112026,30.14
330000196406172448,33.41
