ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss
21000019810728250X,18,0,0,2,1,1074.3300000000002
530000197506034773,25,0,0,2,4,3014.33
450000196703256186,28,0,0,0,4,2693.4900000000002
500000198008232848,19,0,0,1,2,1469.15
450000197402288488,22,0,0,2,4,2599.12
360000196312107157,16,0,0,0,2,1125.09
630000195108252323,26,0,0,0,3,1308.55
420000199505248298,26,0,0,3,2,2273.27
320000199806261839,20,0,0,0,2,1062.66
230000198907202276,25,0,0,0,4,1282.6100000000001
340000195706277871,24,0,0,0,1,875.9
330000199103075978,16,0,0,1,3,3273.41
370000196012251570,30,0,0,3,1,1782.74
420000195903311792,25,0,0,1,2,941.2700000000001
110000199604119763,31,0,0,1,7,3701.47
420000196712031506,26,0,0,1,1,1180.95
110000198306195640,20,0,0,0,3,2063.37
620000196903280203,24,0,0,2,2,1566.4899999999998
650000198704266577,20,0,0,1,0,108.4
62000019660525105X,25,0,0,1,2,1253.6999999999998
350000199312079231,30,0,0,0,3,1272.55
110000199106014782,21,0,0,0,5,2193.8
620000195906244895,22,0,0,2,4,1999.7900000000002
54000019550707725X,23,0,0,0,3,2288.89
310000195103225110,14,0,0,2,3,2750.67
340000196110176716,22,0,0,0,3,2293.13
640000199212048023,22,0,0,0,0,0
220000197807281126,22,0,0,0,0,0
610000199310275769,17,0,0,0,3,1837.24
500000195111239972,17,0,0,1,5,2938.96
340000198501274355,22,0,0,1,3,2433.74
610000195402083344,9,0,0,0,4,1767.6999999999998
120000197712129726,16,0,0,1,5,2368.7300000000005
540000197808283195,13,0,0,2,5,3129.5
140000196911079142,24,0,0,4,8,4841.63
230000197212158825,11,0,0,0,2,1104.86
520000198603151923,21,0,0,2,6,2984.84
430000198507249996,15,0,0,2,5,3307.51
360000198908152046,13,0,0,2,1,1026.08
62000019520624910X,22,0,0,3,4,3609.83
440000199911165061,14,0,0,5,4,5422.080000000001
340000200205207027,17,0,0,5,3,2387.58
320000197401215325,27,0,0,5,3,4555.199999999999
360000195710080805,23,0,0,3,5,2878.8999999999996
130000195605169725,16,0,0,0,4,1743.76
630000197011252561,17,0,0,3,3,3401.5600000000004
330000197602147228,20,0,0,2,5,3658.84
430000199909049086,19,0,0,1,7,3285.34
330000198809191693,17,0,0,5,3,3511.05
640000198108055755,21,0,0,0,8,2707.75
330000199012155411,15,0,0,2,4,2727.96
450000199908076465,18,0,0,3,3,1856.97
620000198002222398,13,0,0,2,2,1536.99
420000197007185184,17,0,0,3,4,3016.8500000000004
310000200209240638,16,0,0,6,2,2621.7099999999996
620000199010115044,18,0,0,3,6,3643.8999999999996
140000199507198581,15,0,0,1,1,384.78
330000198310262536,19,0,0,3,8,6805.379999999999
210000197602176400,20,0,0,1,8,4813.75
350000197705120427,14,0,0,4,3,2827.0
520000198003108040,20,0,0,2,5,3675.8300000000004
370000196605209159,18,0,0,0,0,0
150000197209163332,10,0,0,1,0,518.38
220000196809102131,18,0,0,0,1,511.31
640000197012180039,13,0,0,1,0,472.58
210000197001241035,18,0,0,0,4,1539.73
360000198704182710,14,0,0,0,0,0
500000197512033640,10,0,0,0,0,0
510000198802222921,13,0,0,0,0,0
520000200504217798,18,0,0,0,1,475.27
460000199906230184,10,0,0,0,0,0
520000200407275486,8,0,0,1,0,397.68
510000198803300178,11,0,0,0,0,0
330000199107063501,12,0,0,0,0,0
310000199712050940,9,0,0,0,0,0
430000200103184671,16,0,0,0,0,0
150000198111193730,10,0,0,0,1,845.76
230000198802144911,20,0,0,0,2,1549.13
430000199405285624,18,0,0,0,0,0
220000199302025652,17,0,0,0,1,304.66
650000196112107805,12,0,0,0,0,0
340000195502096761,13,0,0,0,1,656.61
330000195904053519,14,0,0,0,0,0
450000195803289239,16,0,0,0,0,0
220000200112201462,11,0,0,0,0,0
340000199608297121,10,0,0,0,0,0
220000199502254599,13,0,0,0,1,664.13
540000199408022606,4,0,0,0,0,0
430000198908181400,14,0,0,0,2,942.15
520000198904114253,12,0,0,1,0,345.55
210000198607268704,8,0,0,0,0,0
460000195003205713,21,0,0,0,0,0
520000196810244007,23,0,0,0,0,0
450000198605030852,31,0,0,0,0,0
140000196810182749,28,0,0,0,0,0
63000019661202077X,25,0,0,0,0,0
44000019941026706X,20,0,0,0,0,0
50000020061124099X,20,0,0,0,0,0
510000197603015896,18,0,0,0,0,0
610000200405312273,14,0,0,0,0,0
