ID,Total_Count_JD,Refund_Only_Count_JD,Rental_Not_Returned_Count_JD,Partial_Payment_After_Receipt_Count_JD,Payment_Without_Delivery_Count_JD,Amount_of_Loss_JD
640000198311040962,27,0,0,0,4,2239.63
640000198605277105,34,0,0,0,1,484.42
150000195809164495,33,0,0,1,1,1133.67
500000198506142917,48,0,0,0,3,1091.77
330000196612028594,46,0,0,0,2,1316.92
230000196609086685,37,0,0,0,0,0
540000195808249668,50,0,0,2,1,1775.44
510000196803264884,42,0,0,0,0,0
530000198706258899,45,0,0,0,1,771.69
530000200306153385,32,0,0,0,2,1680.67
370000196906071253,45,0,0,0,0,0
130000199008294825,34,0,0,0,0,0
450000196205059702,36,0,0,0,0,0
610000195112145017,44,0,0,0,0,0
610000199310159784,39,0,0,0,0,0
310000198105247149,32,0,0,1,1,1238.1100000000001
450000196408127621,41,0,0,1,0,557.56
460000198712130615,43,0,0,0,0,0
150000196906110266,44,0,0,0,2,1166.9299999999998
120000195711208511,46,0,0,0,2,1492.92
340000199102069930,49,0,0,0,1,649.88
64000019990625426X,38,0,0,0,4,1005.6800000000001
230000195410314228,52,0,0,0,1,984.64
640000195402084721,33,0,0,0,0,0
140000197807244392,45,0,0,0,2,972.89
320000199106123291,38,0,0,1,0,795.6
420000197508312321,40,0,0,0,2,998.1999999999999
620000195602018127,25,0,0,0,0,0
520000199310091941,42,0,0,0,1,702.81
520000199110044550,33,0,0,0,0,0
420000199706111132,37,0,0,0,0,0
540000198603110244,31,0,0,0,2,1510.48
450000199405203610,29,0,0,0,0,0
120000195011112375,39,0,0,0,1,752.38
230000199002176477,36,0,0,0,0,0
340000198902239307,30,0,0,1,0,394.15
540000196712058079,43,0,0,2,0,959.53
320000195007303520,48,0,0,1,0,496.18999999999994
350000196604062956,50,0,0,2,2,1856.8500000000001
350000195204221415,31,0,0,0,1,41.26
150000195712232818,41,0,0,0,0,0
220000196304135034,43,0,0,0,1,98.78
630000195506111104,35,0,0,1,0,279.99
340000196910218849,42,0,0,0,0,0
520000199901267259,31,0,0,0,0,0
430000197411143930,45,0,0,0,1,908.59
120000198308290184,40,0,0,0,1,213.94
310000197611287421,36,0,0,1,0,385.61
