ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss
12000019851214976X,34,0,0,1,3,2001.4699999999998
53000019831112487X,35,0,0,0,2,780.01
630000200111038348,36,0,0,0,2,1224.6599999999999
44000019860220996X,37,0,0,0,3,900.15
130000198710291670,44,0,0,0,2,762.4200000000001
120000199008153748,37,0,0,1,2,2020.1
140000196605196156,34,0,0,0,2,1083.15
220000200109268826,41,0,0,1,1,791.11
110000198910119943,40,0,0,0,2,975.0
620000197310112575,32,0,0,0,3,1187.94
330000196704063127,31,0,0,0,2,1243.0700000000002
360000199605208879,50,0,0,1,2,916.96
110000195705150112,49,0,0,2,1,1716.1799999999998
44000019991223214X,36,0,0,0,0,0
110000196412087417,36,0,0,0,0,0
430000196408192817,49,0,0,1,1,530.48
150000196905026863,41,0,0,0,2,813.22
460000198003293462,36,0,0,0,4,1370.6
33000019740628409X,39,0,0,0,3,323.97
53000020030809338X,39,0,0,0,0,0
130000200007229226,26,0,0,0,1,137.24
530000200410210204,38,0,0,1,3,2331.53
310000198106238690,41,0,0,0,3,1739.34
440000195608197767,53,0,0,2,2,2091.39
440000197607071045,32,0,0,1,1,1342.77
120000200501082918,46,0,0,1,1,745.96
14000019520410560X,33,0,0,1,1,737.01
150000196906110266,39,0,0,0,2,1422.58
440000199712045227,40,0,0,1,2,2327.7200000000003
120000199904223820,43,0,0,2,6,4540.739999999999
360000198101211295,37,0,0,0,1,304.6
120000196709078919,39,0,0,0,2,701.5899999999999
15000020030119403X,51,0,0,1,3,1941.14
430000198911273816,50,0,0,2,4,2683.29
110000199202067710,44,0,0,0,3,1423.73
320000200106288155,31,0,0,1,3,1908.76
150000197110143251,49,0,0,0,4,1788.47
630000197708158727,40,0,0,0,1,62.23
110000199210072202,39,0,0,0,1,269.08
360000195803050103,42,0,0,1,2,1573.5200000000002
340000196603176933,36,0,0,1,3,2203.8999999999996
330000197510223617,36,0,0,0,1,941.45
110000199707209200,36,0,0,0,0,0
500000199608106479,34,0,0,0,1,18.25
41000019830117178X,40,0,0,2,2,1346.63
430000200012053828,39,0,0,0,3,1868.3400000000001
370000199611131304,33,0,0,3,3,2343.64
630000197201104930,42,0,0,0,5,2993.25
620000196312160824,32,0,0,0,2,647.38
450000200003218532,48,0,0,0,3,1730.4499999999998
610000199807110740,42,0,0,1,1,1265.41
22000019760328232X,41,0,0,1,6,3945.09
640000195708149284,37,0,0,0,1,654.78
110000195910312459,39,0,0,0,3,927.97
50000020021031832X,39,0,0,0,2,770.51
650000198606258135,42,0,0,0,2,431.45
630000199109206028,35,0,0,1,2,1272.28
410000200103249638,45,0,0,1,2,1105.0
410000195503082300,34,0,0,2,1,1628.3400000000001
310000195306297974,45,0,0,0,3,1872.85
370000196906071253,36,0,0,0,5,2934.2200000000003
650000199510140241,42,0,0,1,2,1852.3700000000001
650000199611192534,37,0,0,0,0,0
650000198405140763,43,0,0,1,4,2757.08
330000200505317576,31,0,0,2,1,524.2099999999999
230000198003167447,28,0,0,0,1,735.37
450000198901096143,46,0,0,1,1,528.1199999999999
450000199401275609,43,0,0,0,3,2251.91
120000197104034774,38,0,0,0,1,649.48
370000199801028578,37,0,0,1,3,1516.45
120000199503266942,40,0,0,1,2,1396.21
430000197908012661,37,0,0,1,3,1979.52
340000197501153989,46,0,0,0,2,1482.1599999999999
330000197012135446,39,0,0,0,1,555.31
540000197308056981,49,0,0,1,2,1486.31
610000196711063368,43,0,0,1,1,243.18
430000200410120512,27,0,0,1,1,950.4300000000001
63000019941229610X,40,0,0,0,1,739.7
410000196606012094,40,0,0,0,1,555.36
230000195009194282,44,0,0,3,2,3018.0899999999997
630000198803232598,33,0,0,1,1,1000.1299999999999
330000197212205883,43,0,0,0,3,950.87
130000198505155936,44,0,0,0,2,1267.6399999999999
350000199312137040,39,0,0,0,1,848.79
330000199608244378,33,0,0,0,1,432.92
33000019520306213X,35,0,0,0,2,828.0699999999999
150000200310245919,40,0,0,1,1,950.26
610000197509139095,44,0,0,2,5,3094.9900000000002
460000195701213868,32,0,0,0,1,99.92
440000197202074045,36,0,0,0,1,406.65
320000197412138708,44,0,0,2,2,1088.6999999999998
15000019740217739X,41,0,0,0,1,529.26
21000019830502160X,33,0,0,0,2,1115.43
110000200208218087,46,0,0,0,1,202.52
330000197301112099,43,0,0,1,2,2180.59
210000200012096640,52,0,0,0,2,1183.32
210000199006138917,41,0,0,0,2,800.9300000000001
44000020031211476X,53,0,0,0,3,1065.23
370000197310060857,41,0,0,1,2,1401.45
500000200302078167,34,0,0,1,4,1717.6399999999999
230000198910308194,41,0,0,2,2,2488.6000000000004
530000200106146738,30,0,0,0,4,1590.4
620000197407070789,40,0,0,0,1,787.27
350000196605060995,41,0,0,1,2,2064.9300000000003
310000198802263814,37,0,0,0,3,1818.82
540000195203310534,42,0,0,1,1,1198.9099999999999
520000195403285755,39,0,0,0,3,1991.53
610000200510265368,35,0,0,0,2,1108.98
640000197306156202,32,0,0,0,0,0
650000198606238572,31,0,0,1,1,856.1700000000001
120000195103285716,31,0,0,0,0,0
540000197508018584,31,0,0,0,3,1966.7199999999998
630000198802267297,38,0,0,2,1,1092.35
110000199509233402,34,0,0,1,2,1152.97
110000199309132842,35,0,0,1,2,942.2
220000198807114824,34,0,0,0,3,1363.14
120000198009161593,37,0,0,1,1,1356.71
530000197103062665,35,0,0,0,1,250.48
510000195106257879,38,0,0,0,2,752.3199999999999
360000196502217381,50,0,0,0,3,1263.03
460000198806172410,37,0,0,1,1,1139.9
230000195110104827,33,0,0,0,4,1133.59
140000199407244181,28,0,0,0,0,0
420000197707125051,36,0,0,0,2,905.3599999999999
210000198701315052,33,0,0,0,0,0
440000198810070341,45,0,0,0,1,487.22
110000198510090387,31,0,0,0,1,274.97
120000196309233334,32,0,0,0,2,756.2
110000197805029554,46,0,0,0,1,638.85
650000197011035464,28,0,0,1,2,1847.4299999999998
430000195610299357,30,0,0,0,2,1257.62
41000019520429440X,37,0,0,1,1,926.53
140000196505033106,39,0,0,0,0,0
430000199704270158,34,0,0,0,1,431.19
460000196202120442,33,0,0,1,2,1015.6600000000001
61000019880210630X,37,0,0,0,0,0
410000200403023171,40,0,0,0,1,667.77
640000197801025373,42,0,0,1,2,1293.5600000000002
110000195908118024,40,0,0,2,1,1552.79
340000200408314527,38,0,0,1,3,1733.55
230000196405052918,27,0,0,0,0,0
220000199105153938,37,0,0,1,4,2170.44
23000019820731703X,38,0,0,0,3,1308.65
420000198612117475,34,0,0,1,3,1601.52
320000197410083096,41,0,0,1,2,1555.52
520000197303216671,40,0,0,2,6,3212.96
510000195403300327,56,0,0,0,4,2883.06
310000199207252808,41,0,0,0,4,2777.91
630000199509105170,48,0,0,2,3,2609.8199999999997
11000019660819875X,33,0,0,0,2,993.72
410000200405238512,46,0,0,1,1,856.63
310000197102068853,36,0,0,0,1,369.15
650000196808159339,28,0,0,1,3,1366.19
120000199112251639,34,0,0,3,2,2180.38
350000196606132399,35,0,0,0,2,1021.98
610000196111057909,41,0,0,0,3,1910.43
12000019980919171X,51,0,0,1,1,331.64
620000195506197882,40,0,0,2,3,2319.0699999999997
350000198711295615,26,0,0,0,0,0
630000195701286962,31,0,0,0,5,2424.82
510000197802019216,44,0,0,1,1,1030.68
650000197204232229,38,0,0,0,1,356.16
310000198008306936,39,0,0,1,1,958.99
430000197507083936,33,0,0,0,3,1274.2
420000199506023816,49,0,0,1,2,1421.75
310000199812180419,39,0,0,1,1,1331.08
620000197801305398,38,0,0,1,2,1468.77
320000196412094122,35,0,0,0,1,426.36
61000019840502110X,33,0,0,0,2,1477.74
120000197308235930,38,0,0,1,3,2991.58
630000195110309368,38,0,0,1,2,1901.82
110000196109242533,35,0,0,1,3,1783.5700000000002
150000196602274886,42,0,0,1,3,2057.56
410000195808210457,42,0,0,0,1,605.01
530000195512124004,35,0,0,0,1,326.11
430000198205095485,44,0,0,0,3,1818.32
520000197809263803,40,0,0,1,3,1784.75
230000197204133038,38,0,0,0,2,1424.3600000000001
640000198311040962,39,0,0,1,2,1969.6699999999998
500000197309129276,34,0,0,0,1,232.71
430000195908121973,47,0,0,1,3,2299.1
650000195310223749,41,0,0,0,2,1874.9
530000195609285090,38,0,0,1,2,1158.1
350000200504012758,41,0,0,0,1,956.55
360000200202147448,50,0,0,1,2,1191.3
150000196712027106,41,0,0,0,3,1845.31
440000197008182405,43,0,0,1,3,1229.44
450000195211243501,47,0,0,1,4,3353.68
500000198907058054,50,0,0,1,1,800.09
110000199604274368,33,0,0,0,4,1901.69
120000199102166967,45,0,0,1,4,2931.7700000000004
370000199404066351,27,0,0,1,3,1351.53
11000019600605680X,45,0,0,0,1,730.6
650000199806098396,40,0,0,0,4,3354.5699999999997
320000200510240057,35,0,0,0,1,308.89
430000200410102269,38,0,0,1,0,32.88
460000198612201631,46,0,0,0,2,590.78
360000200507224387,44,0,0,1,2,1235.51
23000020010808869X,26,0,0,0,0,0
110000196703128100,42,0,0,2,3,2198.79
630000198310010153,48,0,0,1,3,1802.64
450000196809179975,55,0,0,3,3,2781.4199999999996
360000198805096459,49,0,0,1,6,2964.35
35000020030621018X,42,0,0,0,3,2077.42
450000200606155614,33,0,0,1,1,636.14
150000197311163849,45,0,0,0,2,1222.3
410000196705224383,37,0,0,0,2,316.5
640000196311190179,44,0,0,3,3,2876.75
630000196909172096,50,0,0,1,3,3383.09
500000195208097376,36,0,0,0,3,1303.96
640000196109045381,36,0,0,0,2,1533.63
460000196201198707,39,0,0,0,0,0
340000195305116030,36,0,0,2,1,1525.7999999999997
130000198511068361,45,0,0,3,2,2987.2799999999997
420000195012177390,57,0,0,0,3,1670.0900000000001
540000200502100004,39,0,0,2,0,934.6700000000001
230000197308287082,50,0,0,0,3,1098.41
420000197612105824,49,0,0,0,0,0
320000198809040607,54,0,0,0,4,643.2
410000195111128170,32,0,0,0,3,1540.51
610000195704125896,40,0,0,1,1,1120.5
350000198511212571,39,0,0,0,2,1541.0500000000002
500000196310264884,30,0,0,1,3,1841.84
330000200509167798,44,0,0,3,1,1671.8300000000002
220000200004100111,31,0,0,1,2,2055.61
440000195408074025,37,0,0,1,4,2132.31
330000200309012863,41,0,0,0,1,998.95
430000195204030002,42,0,0,0,4,2375.65
410000197601116665,37,0,0,0,2,663.51
410000198004270765,35,0,0,1,0,177.04999999999998
140000200404044032,41,0,0,0,1,223.13
530000197110198886,39,0,0,2,1,2011.15
620000195201244676,34,0,0,1,1,718.0900000000001
360000199004264533,38,0,0,2,1,1741.4099999999999
460000195812070783,44,0,0,0,1,303.63
630000199708156333,41,0,0,0,1,440.02
