ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss
110000199106014782,30,0,0,0,0,0
54000019550707725X,22,0,0,0,0,0
530000197506034773,25,0,0,0,0,0
62000019660525105X,24,0,0,0,0,0
310000195103225110,21,0,0,0,0,0
640000199212048023,32,0,0,0,0,0
420000196712031506,25,0,0,0,0,0
350000199312079231,28,0,0,0,0,0
420000199505248298,37,0,0,0,0,0
450000197402288488,24,0,0,0,0,0
340000196110176716,24,0,0,0,0,0
610000199310275769,27,0,0,0,0,0
360000196312107157,41,0,0,0,0,0
500000195111239972,23,0,0,0,0,0
500000198008232848,19,0,0,0,0,0
340000198501274355,24,0,0,0,0,0
630000195108252323,25,0,0,0,0,0
450000196703256186,18,0,0,0,0,0
320000199806261839,26,0,0,0,0,0
110000199604119763,22,0,0,0,0,0
420000195903311792,22,0,0,0,0,0
620000196903280203,28,0,0,0,0,0
330000199103075978,34,0,0,0,0,0
220000197807281126,29,0,0,0,0,0
370000196012251570,23,0,0,0,0,0
650000198704266577,24,0,0,0,0,0
230000198907202276,31,0,0,0,0,0
21000019810728250X,20,0,0,0,0,0
110000198306195640,29,0,0,0,0,0
620000195906244895,21,0,0,0,0,0
340000195706277871,22,0,0,0,0,0
230000197212158825,31,0,0,0,0,0
430000198507249996,27,0,0,0,0,0
360000198908152046,18,0,0,0,0,0
330000198809191693,28,0,0,0,0,0
610000195402083344,22,0,0,0,0,0
540000197808283195,29,0,0,0,0,0
310000200209240638,22,0,0,0,0,0
320000197401215325,27,0,0,0,0,0
520000198603151923,34,0,0,0,0,0
620000199010115044,29,0,0,0,0,0
430000199909049086,26,0,0,0,0,0
120000197712129726,32,0,0,0,0,0
360000195710080805,26,0,0,0,0,0
420000197007185184,28,0,0,0,0,0
330000199012155411,29,0,0,0,0,0
440000199911165061,15,0,0,0,0,0
140000196911079142,24,0,0,0,0,0
450000199908076465,31,0,0,0,0,0
330000198310262536,29,0,0,0,0,0
520000198003108040,25,0,0,0,0,0
350000197705120427,23,0,0,0,0,0
340000200205207027,31,0,0,0,0,0
620000198002222398,27,0,0,0,0,0
62000019520624910X,24,0,0,0,0,0
140000199507198581,23,0,0,0,0,0
640000198108055755,32,0,0,0,0,0
210000197602176400,28,0,0,0,0,0
630000197011252561,30,0,0,0,0,0
330000197602147228,27,0,0,0,0,0
130000195605169725,23,0,0,0,0,0
310000199712050940,17,0,0,0,0,0
220000200112201462,21,0,0,0,0,0
340000195502096761,13,0,0,1,0,362.76
450000195803289239,15,0,0,0,0,0
430000198908181400,17,0,0,0,0,0
540000199408022606,14,0,0,0,0,0
500000197512033640,11,0,0,1,0,374.2
510000198803300178,16,0,0,0,0,0
150000198111193730,15,0,0,1,0,424.89
510000198802222921,8,0,0,0,1,974.35
430000199405285624,13,0,0,0,0,0
520000200407275486,19,0,0,0,1,460.03
360000198704182710,14,0,0,1,0,529.3
430000200103184671,15,0,0,0,1,499.55
330000199107063501,18,0,0,0,1,833.09
210000198607268704,14,0,0,0,0,0
230000198802144911,17,0,0,0,0,0
220000196809102131,11,0,0,0,1,44.83
640000197012180039,10,0,0,0,0,0
220000199302025652,13,0,0,0,0,0
520000200504217798,12,0,0,0,2,1224.1200000000001
650000196112107805,13,0,0,0,0,0
520000198904114253,9,0,0,0,0,0
460000199906230184,9,0,0,0,1,404.62
330000195904053519,6,0,0,0,0,0
370000196605209159,11,0,0,0,1,964.39
210000197001241035,14,0,0,0,0,0
150000197209163332,10,0,0,0,0,0
340000199608297121,7,0,0,0,0,0
220000199502254599,8,0,0,0,1,838.46
63000019661202077X,25,0,0,0,0,0
460000195003205713,26,0,0,0,0,0
510000197603015896,28,0,0,0,0,0
44000019941026706X,8,0,0,0,0,0
610000200405312273,22,0,0,0,0,0
140000196810182749,28,0,0,0,0,0
450000198605030852,21,0,0,0,0,0
50000020061124099X,21,0,0,0,0,0
520000196810244007,21,0,0,0,0,0
