ID,Total_Count_TB,Refund_Only_Count_TB,Rental_Not_Returned_Count_TB,Partial_Payment_After_Receipt_Count_TB,Payment_Without_Delivery_Count_TB,Amount_of_Loss_TB
320000195605231061,44,0,0,0,4,1833.8000000000002
440000196412015540,48,0,0,0,0,0
210000199201020690,37,0,0,0,0,0
460000197003279711,41,0,0,0,2,1125.63
450000197604244950,48,0,0,0,1,297.83
330000197310149467,49,0,0,1,3,1357.02
32000020060610894X,50,0,0,1,1,1191.67
210000195305201084,41,0,0,0,0,0
320000199008250166,51,0,0,0,1,664.3
650000196412215015,51,0,0,1,0,751.49
43000019771013732X,47,0,0,0,1,60.2
650000197601227378,41,0,0,0,0,0
510000197301160393,41,0,0,0,1,266.29
120000196709078919,43,0,0,1,1,678.61
520000196312162367,43,0,0,0,2,568.09
460000197806246972,49,0,0,0,0,0
650000198606238572,38,0,0,0,1,676.98
12000019980418318X,37,0,0,0,0,0
610000195608248204,46,0,0,0,1,654.12
520000198211045793,35,0,0,0,0,0
110000195104044066,47,0,0,0,1,491.82
540000197810175652,35,0,0,0,2,1053.13
350000198609112026,32,0,0,0,0,0
320000195607159534,34,0,0,1,1,1114.76
230000196909026019,37,0,0,0,1,225.36
33000019851222655X,31,0,0,0,1,446.53
630000195506111104,49,0,0,0,1,689.01
510000200109021240,50,0,0,0,2,1461.45
620000197001106876,48,0,0,1,0,192.75
51000019770402461X,38,0,0,0,3,2236.46
350000197404197682,39,0,0,0,0,0
64000019580907551X,41,0,0,0,1,792.52
650000197412296817,41,0,0,0,2,1249.4499999999998
37000020041028297X,40,0,0,0,2,413.25
340000199108178679,56,0,0,0,1,488.93
530000199207051142,42,0,0,1,0,244.82
650000198805231613,29,0,0,0,1,808.27
430000197906240775,36,0,0,2,0,223.69000000000003
350000200610128690,43,0,0,0,3,2072.34
640000195705081456,45,0,0,0,2,816.1600000000001
430000195301242154,45,0,0,1,1,476.42999999999995
360000196312160177,41,0,0,1,0,571.22
450000199310215256,38,0,0,1,3,1835.73
520000195611044497,37,0,0,0,1,347.98
430000199105238121,42,0,0,0,2,1220.71
610000196711063368,50,0,0,0,2,580.88
31000019860721606X,50,0,0,0,2,1250.37
65000019831009213X,45,0,0,2,0,995.92
210000196701090560,39,0,0,2,1,1748.31
320000200005278441,37,0,0,0,0,0
430000198407236434,28,0,0,1,1,1464.27
150000197504301048,36,0,0,0,3,2147.08
210000197411264096,38,0,0,1,2,1396.28
330000196510029932,35,0,0,0,3,2432.3199999999997
230000199907017171,39,0,0,0,0,0
50000020060217787X,34,0,0,0,1,952.37
230000197711133454,29,0,0,1,2,1265.17
130000198211079771,34,0,0,0,0,0
65000019500212786X,35,0,0,1,1,878.6800000000001
440000196206080472,42,0,0,1,2,736.65
210000198908010491,41,0,0,0,0,0
430000197108191390,38,0,0,0,2,367.75
630000199509105170,32,0,0,1,1,1314.37
610000197906260235,37,0,0,1,1,569.93
350000198511212571,39,0,0,0,2,1746.89
530000195202241504,37,0,0,0,0,0
530000198101046033,34,0,0,0,0,0
500000197807317181,36,0,0,0,1,642.38
320000195706082165,50,0,0,1,1,1187.4
21000019751010985X,33,0,0,2,0,754.9499999999999
530000200406163142,43,0,0,1,0,40.47
36000019560329172X,45,0,0,1,0,210.73
420000199304105530,29,0,0,0,0,0
540000196006014925,34,0,0,0,2,1759.04
110000195609261453,44,0,0,0,0,0
540000199712132201,28,0,0,1,1,587.24
340000198210073350,38,0,0,0,1,404.13
11000019910917153X,38,0,0,1,0,184.68000000000004
63000020010505101X,54,0,0,0,2,1291.01
460000199709265345,45,0,0,0,4,2178.26
430000195402200156,45,0,0,1,2,1077.44
310000196809035807,49,0,0,0,1,908.13
220000198601173255,45,0,0,1,0,485.7
370000196606039833,28,0,0,0,0,0
54000020000706646X,37,0,0,0,1,754.88
450000195104220320,45,0,0,1,2,2102.79
32000019661223496X,53,0,0,1,1,1265.17
640000195609108671,33,0,0,0,0,0
330000198205279037,39,0,0,1,0,712.54
630000199508093913,37,0,0,0,4,2183.64
450000199208159999,38,0,0,0,0,0
320000198002011987,41,0,0,0,1,846.39
370000199605167597,43,0,0,0,0,0
230000197507024517,43,0,0,1,2,1721.92
450000200307255359,43,0,0,0,0,0
220000199702110557,42,0,0,0,1,779.34
530000197110198886,37,0,0,1,0,204.85000000000002
220000200003236295,32,0,0,0,0,0
110000199604274368,40,0,0,0,1,893.26
520000199708155167,48,0,0,0,4,2375.5
330000198108074814,33,0,0,1,1,507.63
630000195005017160,41,0,0,0,0,0
52000019590420997X,41,0,0,1,2,1007.23
630000196508165231,35,0,0,0,0,0
210000195302166658,36,0,0,3,1,1529.06
130000196104155661,28,0,0,0,1,847.57
150000197911054646,51,0,0,1,4,2428.6000000000004
410000197504091662,38,0,0,1,2,1737.48
120000197806119342,41,0,0,0,5,2795.87
230000195303217991,38,0,0,1,1,489.29
210000197606091332,39,0,0,1,0,361.10999999999996
410000195802183494,47,0,0,0,1,246.33
330000200208076243,53,0,0,1,1,1046.69
430000200307263830,40,0,0,1,1,320.0
450000199708022956,37,0,0,0,0,0
210000197208054528,31,0,0,0,1,171.59
510000199711289199,54,0,0,0,1,871.21
460000197803252912,30,0,0,0,0,0
410000199806270059,42,0,0,0,1,589.56
310000198409276897,44,0,0,0,2,961.77
460000198712130615,48,0,0,1,0,763.85
440000196008063452,50,0,0,1,2,1434.41
640000199808020232,34,0,0,0,1,711.75
120000196008292568,52,0,0,0,1,844.39
630000197506096695,54,0,0,1,1,477.6400000000001
41000019521112138X,38,0,0,0,0,0
130000198307201874,41,0,0,0,3,2239.21
220000198112237713,47,0,0,1,1,873.5699999999999
420000199003247113,42,0,0,4,2,2493.14
510000198109178619,45,0,0,1,0,258.5
220000197102072885,31,0,0,1,1,1422.79
530000200309266393,32,0,0,2,2,2402.0
43000020020522702X,38,0,0,1,1,1366.91
650000199909244720,39,0,0,0,0,0
120000195010234135,45,0,0,0,2,336.40999999999997
320000198702045870,32,0,0,0,1,695.63
50000019580114070X,43,0,0,0,0,0
450000197208131065,45,0,0,1,2,2083.7799999999997
340000196601105808,29,0,0,0,1,529.87
110000199812061420,43,0,0,0,0,0
130000197501277157,38,0,0,1,0,392.76
230000197401164773,37,0,0,0,0,0
110000198805185631,36,0,0,0,2,805.02
41000019590409437X,50,0,0,0,2,856.0
440000199103299870,36,0,0,0,0,0
35000019820319720X,35,0,0,0,0,0
510000195606186376,35,0,0,1,1,754.04
510000200203041459,27,0,0,1,1,750.79
410000198504276645,40,0,0,0,3,2088.6
650000195006062952,47,0,0,1,0,640.5699999999999
610000197607023168,39,0,0,0,2,756.34
360000199007149805,52,0,0,1,2,1527.78
310000198106238690,41,0,0,1,0,428.08
540000199010203335,29,0,0,0,0,0
640000195910014981,42,0,0,0,1,669.12
640000197010125589,31,0,0,1,2,2176.13
310000199207252808,35,0,0,0,2,1627.9
510000196901224675,39,0,0,1,1,958.61
360000196803109210,35,0,0,1,1,1416.3799999999999
520000196905202336,45,0,0,1,1,1351.9299999999998
110000199001106533,41,0,0,0,4,1917.15
120000197002037747,31,0,0,1,0,441.64
610000196001260316,37,0,0,0,1,907.77
410000200602172380,45,0,0,2,1,2037.1
110000196306104404,39,0,0,0,0,0
330000196411067597,34,0,0,1,1,531.03
460000198712216603,39,0,0,0,1,594.27
350000197808034265,44,0,0,0,0,0
53000019900827727X,40,0,0,0,3,658.74
120000196005203240,30,0,0,0,0,0
540000197903210103,55,0,0,1,2,1474.66
230000198103197774,33,0,0,1,0,382.37
21000019751125192X,36,0,0,0,0,0
320000197010173789,40,0,0,0,1,88.76
51000019890722312X,31,0,0,1,1,1522.25
650000197903076296,29,0,0,1,2,1522.4899999999998
650000195404063889,44,0,0,0,1,855.47
350000195504171309,47,0,0,0,0,0
36000019670817150X,53,0,0,1,0,57.09
510000197409168565,29,0,0,1,0,232.06
140000197912215059,31,0,0,0,2,1277.56
610000198806294766,43,0,0,0,2,585.39
630000195904081086,42,0,0,1,0,575.77
650000198804296634,48,0,0,0,1,344.65
540000199708236876,34,0,0,0,0,0
110000199210072202,54,0,0,1,1,915.06
210000200401194682,49,0,0,0,2,653.46
420000199408070758,25,0,0,0,0,0
31000019511025637X,51,0,0,0,3,316.17999999999995
360000200105071744,47,0,0,0,3,825.6600000000001
540000195808249668,47,0,0,0,1,34.82
54000019860522400X,36,0,0,1,1,540.01
120000197601051153,39,0,0,1,1,775.9799999999999
130000195605252027,50,0,0,3,1,1361.96
370000198308158286,46,0,0,1,0,450.43000000000006
360000196401220995,63,0,0,0,2,1508.85
640000198006053273,42,0,0,0,0,0
44000019991223214X,51,0,0,0,1,420.63
52000019940111669X,43,0,0,0,3,1716.1999999999998
230000198910308194,53,0,0,1,1,1469.0299999999997
610000200007127363,41,0,0,0,0,0
540000196602034877,41,0,0,2,0,1250.27
220000200305282166,44,0,0,3,1,1756.17
510000195105217488,45,0,0,0,2,1101.06
540000199307234765,40,0,0,0,2,1765.4299999999998
130000200207263285,36,0,0,0,0,0
320000198311234228,34,0,0,1,0,523.59
430000195204030002,45,0,0,0,3,1934.31
320000197605082886,39,0,0,0,0,0
350000200402163715,44,0,0,0,3,1385.6200000000001
650000196808230684,41,0,0,0,0,0
640000200105166636,40,0,0,0,0,0
370000196906071253,30,0,0,0,1,211.36
360000195902121085,35,0,0,1,2,556.71
110000199210192191,37,0,0,1,0,502.55999999999995
370000196510010956,35,0,0,1,0,488.19999999999993
63000019810704565X,38,0,0,0,0,0
370000199209096221,34,0,0,0,1,335.27
220000200005272599,41,0,0,0,0,0
210000197012035456,43,0,0,0,0,0
640000195107121075,55,0,0,0,4,2090.23
140000198611163771,55,0,0,1,2,1709.83
520000200105118389,42,0,0,0,1,357.32
130000195404103391,54,0,0,0,2,921.4300000000001
370000197705196935,36,0,0,1,1,278.88
430000195406240147,43,0,0,2,2,1392.0300000000002
41000019980224059X,65,0,0,0,3,1712.3999999999999
15000019520423258X,44,0,0,1,1,1254.48
330000199311211444,46,0,0,0,2,1565.4
340000197408264166,40,0,0,0,0,0
540000196903170928,42,0,0,1,0,431.40000000000003
320000195206065297,37,0,0,0,0,0
520000197806238821,38,0,0,2,2,2349.0
34000020040720107X,42,0,0,1,0,517.74
540000195609022647,27,0,0,0,0,0
500000200006055489,33,0,0,0,2,1217.95
63000019780201464X,41,0,0,0,1,985.31
630000200111038348,42,0,0,1,1,1214.67
120000199002013859,36,0,0,1,1,296.1000000000001
220000199401100734,36,0,0,0,2,848.86
530000199410200596,43,0,0,0,1,99.55
610000195408259961,44,0,0,0,0,0
310000196307146638,40,0,0,0,0,0
