ID,Total_Count_TB,Refund_Only_Count_TB,Rental_Not_Returned_Count_TB,Partial_Payment_After_Receipt_Count_TB,Payment_Without_Delivery_Count_TB,Amount_of_Loss_TB
230000196705273608,28,0,0,2,0,781.66
330000199506143832,34,0,0,1,0,47.94
340000199102069930,29,0,0,0,0,0
610000198601070830,46,0,0,1,3,2062.87
110000200210125373,36,0,0,1,1,1055.29
110000198112034187,41,0,0,1,4,2957.2000000000003
320000195605231061,43,0,0,2,4,3403.0099999999998
420000198806126046,37,0,0,0,1,389.49
350000197406103686,36,0,0,2,1,1470.48
500000199412315092,29,0,0,1,2,906.76
11000019660819875X,32,0,0,3,1,2191.51
540000195210182112,50,0,0,0,2,964.2800000000001
640000195209089897,39,0,0,4,1,2049.02
110000197808306051,42,0,0,1,2,1134.97
420000196711169175,37,0,0,0,1,385.84
120000196709078919,38,0,0,2,1,1208.93
230000199909019429,37,0,0,1,2,1200.83
230000197112257375,34,0,0,0,3,1839.46
500000195804048730,39,0,0,1,1,302.56
320000199210079542,40,0,0,0,3,561.4399999999999
500000200201122288,37,0,0,1,4,2664.59
360000196312160177,42,0,0,1,4,2306.63
500000200002293818,42,0,0,2,1,1491.1599999999999
510000195202218036,33,0,0,0,3,1196.72
110000195003219752,38,0,0,1,4,2641.91
430000197506243838,39,0,0,1,3,1753.33
510000199605252392,24,0,0,0,1,235.47
630000196006086533,42,0,0,0,2,1220.6
120000196102275465,36,0,0,1,2,943.01
320000200509186364,44,0,0,0,3,2325.13
120000197308235930,33,0,0,0,2,1682.49
540000196712058079,46,0,0,1,2,1325.9299999999998
230000195208122388,33,0,0,1,1,1067.17
460000198405214974,29,0,0,0,3,1430.52
500000196310264884,43,0,0,0,2,718.05
420000197209023474,38,0,0,1,4,2145.92
520000198512044209,42,0,0,1,3,1589.54
350000196008218408,57,0,0,0,3,1281.29
11000019711001986X,54,0,0,1,2,931.89
500000197707026600,36,0,0,0,1,928.52
340000199508071061,32,0,0,0,3,1657.02
460000197111194192,43,0,0,0,0,0
310000197806153706,32,0,0,2,3,2986.3999999999996
540000195206099244,41,0,0,0,1,348.55
210000200603098023,40,0,0,0,1,327.26
330000200212056026,43,0,0,0,2,568.48
120000199511065657,47,0,0,1,2,2257.16
450000195109118683,36,0,0,0,1,362.95
620000196112148644,48,0,0,0,3,1582.1599999999999
210000196812032291,43,0,0,0,1,904.13
520000196211160274,41,0,0,0,4,1667.3
440000198806127739,38,0,0,0,3,1495.42
540000196802071912,35,0,0,0,2,887.74
340000198805248682,39,0,0,0,1,450.28
520000196904195162,37,0,0,1,5,2941.0600000000004
37000019660505082X,29,0,0,0,1,223.86
330000198112103171,39,0,0,0,4,2859.57
330000195501045944,47,0,0,0,0,0
150000198110130121,29,0,0,0,6,2582.71
610000199807110740,45,0,0,1,3,1316.37
34000019800323182X,34,0,0,1,1,1326.7600000000002
540000199609206209,46,0,0,0,3,1699.8300000000002
150000199502196175,40,0,0,0,5,2074.96
420000200312237213,38,0,0,0,0,0
610000198101095185,34,0,0,0,4,2060.7599999999998
640000196311190179,38,0,0,0,1,762.61
450000197402238771,33,0,0,0,2,1245.41
620000195301049093,34,0,0,1,1,692.7299999999999
520000198404077994,36,0,0,0,1,772.02
630000199901221520,48,0,0,0,1,544.02
12000019801005236X,41,0,0,0,1,658.93
520000199106090650,46,0,0,2,1,1312.83
350000197011079896,31,0,0,0,1,771.77
210000199109241562,31,0,0,0,1,980.89
51000019770402461X,46,0,0,0,1,803.47
120000199005309495,33,0,0,0,2,1049.54
110000199012032322,38,0,0,0,1,918.17
540000195809078354,30,0,0,0,1,309.44
530000196906105951,38,0,0,0,1,786.13
340000200207037295,33,0,0,1,1,1418.9
620000199211234349,36,0,0,1,1,977.8799999999999
140000200002275567,36,0,0,0,1,80.14
150000195611066638,32,0,0,1,1,590.03
650000197806144912,36,0,0,0,3,2070.17
