ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss,level
21000019810728250X,18,0,0,2,1,1074.3300000000002,4
530000197506034773,25,0,0,2,4,3014.33,3
450000196703256186,28,0,0,0,4,2693.49,3
500000198008232848,19,0,0,1,2,1469.15,4
450000197402288488,22,0,0,2,4,2599.12,3
360000196312107157,16,0,0,0,2,1125.09,3
630000195108252323,26,0,0,0,3,1308.55,3
420000199505248298,26,0,0,3,2,2273.27,3
320000199806261839,20,0,0,0,2,1062.66,3
230000198907202276,25,0,0,0,4,1282.61,4
340000195706277871,24,0,0,0,1,875.9,4
330000199103075978,16,0,0,1,3,3273.41,3
370000196012251570,30,0,0,3,1,1782.74,4
420000195903311792,25,0,0,1,2,941.27,3
110000199604119763,31,0,0,1,7,3701.47,3
420000196712031506,26,0,0,1,1,1180.95,3
110000198306195640,20,0,0,0,3,2063.37,3
620000196903280203,24,0,0,2,2,1566.4899999999998,3
650000198704266577,20,0,0,1,0,108.4,4
62000019660525105X,25,0,0,1,2,1253.6999999999998,4
350000199312079231,30,0,0,0,3,1272.55,4
110000199106014782,21,0,0,0,5,2193.8,3
620000195906244895,22,0,0,2,4,1999.79,3
54000019550707725X,23,0,0,0,3,2288.89,4
310000195103225110,14,0,0,2,3,2750.67,5
340000196110176716,22,0,0,0,3,2293.13,4
640000199212048023,22,0,0,0,0,0.0,1
220000197807281126,22,0,0,0,0,0.0,1
610000199310275769,17,0,0,0,3,1837.24,4
500000195111239972,17,0,0,1,5,2938.96,5
340000198501274355,22,0,0,1,3,2433.74,3
610000195402083344,9,0,0,0,4,1767.6999999999998,5
120000197712129726,16,0,0,1,5,2368.7300000000005,5
540000197808283195,13,0,0,2,5,3129.5,5
140000196911079142,24,0,0,4,8,4841.63,5
230000197212158825,11,0,0,0,2,1104.86,4
520000198603151923,21,0,0,2,6,2984.84,5
430000198507249996,15,0,0,2,5,3307.51,5
360000198908152046,13,0,0,2,1,1026.08,4
62000019520624910X,22,0,0,3,4,3609.83,5
440000199911165061,14,0,0,5,4,5422.080000000001,5
340000200205207027,17,0,0,5,3,2387.58,5
320000197401215325,27,0,0,5,3,4555.199999999999,5
360000195710080805,23,0,0,3,5,2878.9,5
130000195605169725,16,0,0,0,4,1743.76,4
630000197011252561,17,0,0,3,3,3401.5600000000004,5
330000197602147228,20,0,0,2,5,3658.84,5
430000199909049086,19,0,0,1,7,3285.34,5
330000198809191693,17,0,0,5,3,3511.05,5
640000198108055755,21,0,0,0,8,2707.75,5
330000199012155411,15,0,0,2,4,2727.96,5
450000199908076465,18,0,0,3,3,1856.97,4
620000198002222398,13,0,0,2,2,1536.99,4
420000197007185184,17,0,0,3,4,3016.8500000000004,5
310000200209240638,16,0,0,6,2,2621.71,5
620000199010115044,18,0,0,3,6,3643.9,5
140000199507198581,15,0,0,1,1,384.78,4
330000198310262536,19,0,0,3,8,6805.379999999999,5
210000197602176400,20,0,0,1,8,4813.75,5
350000197705120427,14,0,0,4,3,2827.0,5
520000198003108040,20,0,0,2,5,3675.83,5
370000196605209159,18,0,0,0,0,0.0,1
150000197209163332,10,0,0,1,0,518.38,4
220000196809102131,18,0,0,0,1,511.31,4
640000197012180039,13,0,0,1,0,472.58,4
210000197001241035,18,0,0,0,4,1539.73,4
360000198704182710,14,0,0,0,0,0.0,1
500000197512033640,10,0,0,0,0,0.0,4
510000198802222921,13,0,0,0,0,0.0,1
520000200504217798,18,0,0,0,1,475.27,4
460000199906230184,10,0,0,0,0,0.0,4
520000200407275486,8,0,0,1,0,397.68,4
510000198803300178,11,0,0,0,0,0.0,1
330000199107063501,12,0,0,0,0,0.0,1
310000199712050940,9,0,0,0,0,0.0,4
430000200103184671,16,0,0,0,0,0.0,1
150000198111193730,10,0,0,0,1,845.76,4
230000198802144911,20,0,0,0,2,1549.13,4
430000199405285624,18,0,0,0,0,0.0,1
220000199302025652,17,0,0,0,1,304.66,4
650000196112107805,12,0,0,0,0,0.0,1
340000195502096761,13,0,0,0,1,656.61,4
330000195904053519,14,0,0,0,0,0.0,1
450000195803289239,16,0,0,0,0,0.0,1
220000200112201462,11,0,0,0,0,0.0,1
340000199608297121,10,0,0,0,0,0.0,3
220000199502254599,13,0,0,0,1,664.13,4
540000199408022606,4,0,0,0,0,0.0,4
430000198908181400,14,0,0,0,2,942.15,3
520000198904114253,12,0,0,1,0,345.55,3
210000198607268704,8,0,0,0,0,0.0,3
460000195003205713,21,0,0,0,0,0.0,1
520000196810244007,23,0,0,0,0,0.0,1
450000198605030852,31,0,0,0,0,0.0,1
140000196810182749,28,0,0,0,0,0.0,1
63000019661202077X,25,0,0,0,0,0.0,1
44000019941026706X,20,0,0,0,0,0.0,1
50000020061124099X,20,0,0,0,0,0.0,1
510000197603015896,18,0,0,0,0,0.0,1
610000200405312273,14,0,0,0,0,0.0,1
