ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss,level
450000196805121960,38,0,0,2,3,1583.16,3
640000197109084473,42,0,0,2,4,2896.6,3
14000019760715478X,26,0,0,1,6,2447.3099999999995,3
52000019590420997X,31,0,0,0,3,2256.91,4
320000200402056674,45,0,0,4,5,5064.64,4
34000019870922041X,38,0,0,3,5,3335.62,4
420000195303074172,33,0,0,0,6,2986.22,4
610000199309159496,29,0,0,0,2,714.6999999999999,3
360000199105244531,34,0,0,0,6,2481.81,4
420000200310189713,23,0,0,1,2,1523.8000000000002,4
140000198512217332,36,0,0,2,4,3411.67,4
150000195809059521,39,0,0,2,5,4083.96,3
360000200304300650,37,0,0,0,6,2377.17,4
35000019961001775X,52,0,0,1,3,1967.57,4
430000199112295095,35,0,0,2,2,2182.99,3
500000199609249535,38,0,0,4,7,4890.83,5
430000195507276181,32,0,0,1,3,2219.14,4
230000198812283341,33,0,0,1,4,2799.56,4
32000019690517194X,25,0,0,3,2,1861.76,3
450000195206093019,26,0,0,0,4,1866.15,3
350000200110085903,35,0,0,0,4,2513.11,4
230000200608107850,26,0,0,2,4,2192.46,4
610000198310310152,42,0,0,0,5,2980.3,4
540000197704031006,32,0,0,0,3,1530.3200000000002,4
540000197308017843,28,0,0,0,3,1364.16,4
230000197110283262,38,0,0,2,7,4719.54,4
31000019690408456X,32,0,0,0,4,1615.2999999999995,3
320000198806195398,36,0,0,0,4,2396.19,4
450000200408243488,36,0,0,1,4,2913.62,4
450000196601317347,46,0,0,2,9,6326.949999999999,5
510000199612063688,45,0,0,2,2,2358.96,4
21000019770415021X,27,0,0,1,3,2990.93,4
340000195903131265,30,0,0,3,0,1406.72,4
320000200510240057,35,0,0,2,7,4113.0,4
51000020000223422X,48,0,0,2,6,3652.62,3
360000195502119015,39,0,0,1,6,3725.37,4
530000200309266393,38,0,0,2,4,2677.76,4
320000198801133876,24,0,0,0,2,626.4499999999999,4
640000195609196288,38,0,0,1,3,2424.79,3
360000195903037571,38,0,0,0,6,3400.88,3
620000199504268649,36,0,0,2,6,4339.39,4
410000195605230212,30,0,0,1,5,2832.91,3
12000019980418318X,36,0,0,0,2,779.4100000000001,4
620000200103256714,38,0,0,0,1,767.6,3
620000200307275941,30,0,0,0,4,2310.16,3
430000195608160938,43,0,0,1,8,3197.66,3
460000199606218140,40,0,0,3,2,996.53,4
360000198004139359,39,0,0,1,5,3500.9500000000003,3
22000020040614992X,33,0,0,1,8,4772.110000000001,5
460000195206068149,37,0,0,0,7,2767.54,3
110000199210072202,39,0,0,2,4,2667.28,4
370000198901170518,55,0,0,1,3,1579.26,4
420000197511012928,42,0,0,1,6,2939.3900000000003,3
650000197502255488,35,0,0,0,5,2499.28,3
330000195504224200,42,0,0,0,6,3005.57,4
210000200405270419,28,0,0,0,3,1617.9499999999998,3
36000020021208433X,29,0,0,0,0,0.0,1
370000196702150507,39,0,0,2,2,2395.24,3
150000200310245919,51,0,0,1,11,7211.08,5
620000196303228217,37,0,0,2,5,5055.820000000001,4
41000019520429440X,29,0,0,2,6,3614.56,4
650000199701311824,34,0,0,2,2,2177.03,4
370000196710013457,38,0,0,1,1,1221.26,4
350000198510227018,32,0,0,1,3,1985.71,3
220000199302232571,38,0,0,1,5,2701.04,4
230000198701135071,37,0,0,0,5,3343.0600000000004,3
410000199409099649,52,0,0,2,5,3841.46,4
14000019600210331X,35,0,0,1,2,1078.82,3
620000196311186029,32,0,0,1,3,1169.4299999999998,3
350000196704256002,44,0,0,0,8,4794.83,3
320000195007303520,33,0,0,2,2,1491.25,3
14000019690202887X,39,0,0,1,2,1982.18,4
23000020040727533X,38,0,0,1,7,3740.74,3
370000200604209527,41,0,0,1,7,4226.71,3
130000196508276144,38,0,0,2,3,1494.1799999999998,3
510000199911170096,29,0,0,1,3,1994.03,4
360000198204204231,43,0,0,2,2,1876.46,3
520000198602190197,39,0,0,1,3,2079.0,3
430000199603301699,29,0,0,3,4,2738.9,3
430000196306264971,33,0,0,1,3,2218.16,4
220000198609084935,30,0,0,3,2,2540.01,3
340000197912141800,44,0,0,1,2,1551.87,3
500000196807045118,26,0,0,0,2,586.25,3
450000200003218532,41,0,0,3,2,2322.88,4
110000196811247393,34,0,0,1,2,1009.44,4
210000196303202459,39,0,0,0,2,1544.73,3
460000196008103817,39,0,0,0,6,3783.3,4
610000196111057909,31,0,0,2,3,3642.24,4
610000200510265368,39,0,0,1,6,3334.49,4
430000198002199241,42,0,0,0,9,4490.1,3
230000199307199856,28,0,0,2,3,2829.79,4
630000200111033491,23,0,0,0,6,2385.73,4
370000200506010709,37,0,0,2,3,1650.95,4
36000019890930024X,36,0,0,0,5,2912.88,4
420000199902077410,30,0,0,1,3,2115.23,4
120000200406222134,41,0,0,1,6,3973.88,3
310000197611287421,39,0,0,0,6,4417.6900000000005,3
350000198008312970,36,0,0,0,3,1357.42,4
440000196206080472,38,0,0,2,2,1810.54,4
440000196210238826,30,0,0,1,4,2620.64,3
360000199407030897,35,0,0,0,3,1796.97,4
420000196105128357,40,0,0,1,5,2724.14,3
450000199710222287,36,0,0,1,6,3807.45,4
510000195304240138,39,0,0,3,6,3831.31,3
510000196404122408,37,0,0,1,9,5038.08,5
21000019591006361X,37,0,0,1,5,2894.75,4
630000196507160770,40,0,0,2,7,3583.89,4
440000196809287210,47,0,0,2,9,4181.09,3
120000198011180697,33,0,0,0,6,2967.44,4
330000195109208411,39,0,0,2,8,5867.03,5
130000199602181006,45,0,0,0,4,2326.94,4
510000197510191014,35,0,0,1,5,3109.44,4
210000199008074611,34,0,0,0,2,154.05,4
450000195802181947,43,0,0,1,6,2690.45,4
