ID,Credit_Score,level_Total
510000196907056123,27.11,4
230000197405163102,27.38,4
210000200604183633,21.62,4
34000019640409728X,22.0,4
340000197902276285,20.32,4
230000199609291754,53.86,3
650000196902289746,41.77,3
410000195802183494,37.04,4
510000198808090448,25.2,4
620000199701248807,39.41,4
140000197804245621,30.96,4
410000197812010422,45.58,3
320000197605082886,33.07,4
110000195103052769,20.62,4
350000199203306626,4.49,5
460000199605090376,23.61,4
120000199811280674,59.08,3
210000196303202459,54.47,3
330000197203243589,52.2,3
460000198712130615,26.5,4
12000019550705210X,35.52,4
420000198103074630,38.94,4
110000196312142298,31.95,4
44000019591107628X,20.46,4
500000195608244048,39.31,4
620000195011159390,28.98,4
370000196108021075,21.28,4
440000195003050092,14.77,5
140000198202056182,22.1,4
120000198505263206,38.01,4
320000200005278441,25.64,4
530000198909167591,25.07,4
330000199902166999,38.06,4
520000195705188184,26.21,4
140000196410108777,30.08,4
360000195309279236,34.27,4
320000200610097059,35.39,4
140000196911253155,24.41,4
460000197003279711,39.41,4
51000019511120638X,24.77,4
500000195503299886,30.82,4
500000198008286694,13.3,5
44000019890116655X,26.22,4
220000199804066008,36.54,4
610000195308237773,37.78,4
440000200110235301,37.39,4
450000199201037040,20.57,4
320000197901305191,30.71,4
530000195206175444,28.67,4
420000197207139211,37.36,4
110000196107033172,50.36,3
220000197308279398,56.33,3
340000196008064451,23.41,4
150000198106031681,36.39,4
350000196604062956,24.72,4
350000196005189947,28.12,4
320000197504307548,3.28,5
500000197706219216,31.46,4
360000198802157746,27.9,4
150000196602274886,24.2,4
330000196807096685,53.76,3
22000019860518092X,20.94,4
530000197006217303,28.91,4
630000197312166739,35.13,4
150000196008088685,29.13,4
500000197309129276,36.7,4
310000198812046100,43.4,3
410000200103249638,21.03,4
310000195302100046,28.89,4
530000200406163142,37.21,4
440000197001206160,30.72,4
340000200008164726,23.85,4
440000198312195707,32.06,4
110000196801229634,11.45,5
520000195603299334,37.2,4
