ID,Total_Count_Total,Refund_Only_Count_Total,Rental_Not_Returned_Count_Total,Partial_Payment_After_Receipt_Count_Total,Payment_Without_Delivery_Count_Total,Amount_of_Loss_Total,level_Total
510000196907056123,80,0,0,3,10,6960.84,4
230000197405163102,73,0,0,2,10,6651.870000000001,4
210000200604183633,61,0,0,2,9,4776.499999999999,4
34000019640409728X,69,0,0,2,4,1959.44,4
340000197902276285,76,0,0,1,10,4317.56,4
230000199609291754,79,0,0,1,9,3711.11,3
650000196902289746,67,0,0,6,5,5924.29,3
410000195802183494,61,0,0,1,8,5528.099999999999,4
510000198808090448,79,0,0,2,4,3172.33,4
620000199701248807,72,0,0,2,11,7020.530000000001,4
140000197804245621,67,0,0,2,9,4934.63,4
410000197812010422,73,0,0,2,10,5897.37,3
320000197605082886,67,0,0,1,6,2825.7000000000003,4
110000195103052769,76,0,0,1,13,6919.1,4
350000199203306626,69,0,0,5,11,9150.85,5
460000199605090376,59,0,0,1,3,2153.08,4
120000199811280674,59,0,0,4,6,5431.35,3
210000196303202459,74,0,0,1,4,3207.07,3
330000197203243589,68,0,0,3,10,5217.070000000001,3
460000198712130615,80,0,0,4,10,8460.08,4
12000019550705210X,62,0,0,3,6,5574.849999999999,4
420000198103074630,80,0,0,4,11,6171.23,4
110000196312142298,63,0,0,3,8,5922.509999999999,4
44000019591107628X,71,0,0,1,12,6394.509999999999,4
500000195608244048,79,0,0,2,11,7726.57,4
620000195011159390,66,0,0,2,4,2230.71,4
370000196108021075,74,0,0,2,7,5427.91,4
440000195003050092,64,0,0,5,10,7592.69,5
140000198202056182,72,0,0,4,8,4304.849999999999,4
120000198505263206,72,0,0,3,8,5359.85,4
320000200005278441,72,0,0,3,9,6099.39,4
530000198909167591,79,0,0,4,11,6512.339999999999,4
330000199902166999,81,0,0,2,6,4577.45,4
520000195705188184,74,0,0,3,8,7423.0999999999985,4
140000196410108777,80,0,0,2,9,4881.869999999999,4
360000195309279236,87,0,0,3,10,7617.51,4
320000200610097059,76,0,0,3,9,6654.210000000002,4
140000196911253155,71,0,0,2,9,6877.649999999999,4
460000197003279711,67,0,0,2,8,3544.55,4
51000019511120638X,74,0,0,4,9,5646.9800000000005,4
500000195503299886,74,0,0,2,9,5971.76,4
500000198008286694,74,0,0,3,14,8386.36,5
44000019890116655X,72,0,0,4,4,4039.29,4
220000199804066008,82,0,0,2,5,2316.3500000000004,4
610000195308237773,69,0,0,2,11,6521.17,4
440000200110235301,77,0,0,2,12,6287.779999999999,4
450000199201037040,64,0,0,5,3,3290.38,4
320000197901305191,65,0,0,1,11,5245.31,4
530000195206175444,63,0,0,3,8,4987.579999999999,4
420000197207139211,71,0,0,3,9,6940.17,4
110000196107033172,75,0,0,0,9,4909.450000000001,3
220000197308279398,72,0,0,1,4,1386.45,3
340000196008064451,90,0,0,1,10,6482.160000000001,4
150000198106031681,75,0,0,4,9,6315.110000000001,4
350000196604062956,69,0,0,3,10,5413.900000000001,4
350000196005189947,72,0,0,2,5,3815.5,4
320000197504307548,66,0,0,5,8,7392.41,5
500000197706219216,77,0,0,2,7,3574.9500000000007,4
360000198802157746,72,0,0,4,4,2711.72,4
150000196602274886,71,0,0,1,8,4715.4,4
330000196807096685,66,0,0,3,11,4998.32,3
22000019860518092X,52,0,0,4,3,3966.44,4
530000197006217303,80,0,0,0,6,1585.4299999999998,4
630000197312166739,66,0,0,2,11,6161.45,4
150000196008088685,72,0,0,1,13,7580.87,4
500000197309129276,75,0,0,4,9,5695.13,4
310000198812046100,86,0,0,5,9,5970.56,3
410000200103249638,64,0,0,2,11,6157.219999999999,4
310000195302100046,81,0,0,4,11,4965.84,4
530000200406163142,65,0,0,1,9,4629.49,4
440000197001206160,85,0,0,4,10,5808.59,4
340000200008164726,76,0,0,2,7,4079.86,4
440000198312195707,90,0,0,4,5,4092.13,4
110000196801229634,75,0,0,3,13,7118.46,5
520000195603299334,80,0,0,2,7,4773.620000000001,4
23000019970923161X,76,0,0,4,8,4994.59,4
54000020000706646X,80,0,0,1,8,3984.5700000000006,4
110000196203099374,73,0,0,4,8,5822.900000000001,4
620000198105195687,72,0,0,1,14,8272.25,5
530000197912105899,68,0,0,2,7,3305.26,4
540000195210269859,86,0,0,2,22,12785.490000000003,5
210000195305201084,76,0,0,3,7,4556.35,4
630000199011234477,68,0,0,2,5,5798.43,4
530000195005088096,73,0,0,1,6,2887.57,3
360000195003184090,83,0,0,1,11,7629.070000000001,4
310000195811199689,71,0,0,4,8,5701.48,4
140000200503017654,70,0,0,3,9,5204.45,3
620000200508147241,92,0,0,6,13,7535.53,5
420000197308316643,75,0,0,2,2,2040.46,4
340000200204085232,69,0,0,6,6,5894.32,4
650000195006062952,70,0,0,6,3,3453.83,4
130000199005243184,75,0,0,2,10,6621.56,4
120000198009026244,83,0,0,2,15,10039.13,5
120000197110121217,84,0,0,4,7,4937.71,3
510000197212175761,73,0,0,2,8,4251.93,4
430000195308142244,86,0,0,2,6,4460.87,4
320000199402148776,81,0,0,4,11,8302.7,5
230000199109231050,86,0,0,3,11,7586.169999999999,4
340000199306080437,72,0,0,3,7,4620.07,4
330000196108073660,80,0,0,5,8,7026.67,4
610000196805234201,77,0,0,3,7,4917.919999999999,3
23000019630618937X,70,0,0,3,8,4811.62,4
540000196802083075,65,0,0,3,7,5139.74,4
460000195701213868,69,0,0,3,10,4832.129999999999,4
46000019950406016X,63,0,0,2,10,7971.55,4
510000199312197633,72,0,0,3,7,2544.3100000000004,4
540000197711240463,78,0,0,4,8,5778.07,4
360000196601305205,81,0,0,3,7,4486.03,4
610000195004264772,75,0,0,1,11,6437.770000000001,3
640000198907316448,83,0,0,1,15,7817.43,4
41000019981014395X,65,0,0,1,6,3912.26,4
530000195607016938,72,0,0,1,10,6191.14,4
350000197809292872,82,0,0,3,9,6020.790000000001,4
610000200602192231,73,0,0,2,12,5441.409999999999,4
540000198504225871,67,0,0,2,9,5521.839999999999,4
650000196808230684,76,0,0,3,12,6553.550000000002,4
510000198009041762,67,0,0,1,6,3850.57,4
130000195605230039,73,0,0,2,9,6156.8,4
120000196201213024,77,0,0,2,12,6946.710000000001,4
450000196608204214,77,0,0,1,8,4022.05,4
150000200008104971,73,0,0,2,7,3141.42,4
650000196404157089,67,0,0,4,5,4037.33,3
340000196910218849,63,0,0,1,12,7719.25,5
510000197110140592,91,0,0,1,13,7725.919999999999,4
120000195104106687,87,0,0,5,10,7755.76,4
320000200010248263,79,0,0,7,8,6844.68,4
120000200406222134,68,0,0,2,7,5143.82,4
110000197305195564,71,0,0,2,4,4495.74,4
520000200509229632,60,0,0,0,9,4970.870000000001,4
530000195102074219,88,0,0,2,10,4610.380000000001,4
500000196812156998,62,0,0,3,4,3719.96,4
360000200206123611,70,0,0,6,7,5262.56,4
540000199306059328,74,0,0,1,14,9659.35,5
210000200603098023,66,0,0,1,11,7901.509999999999,3
650000196104301923,80,0,0,1,7,4685.889999999999,3
420000197501263141,63,0,0,1,7,5169.49,4
220000195112132707,71,0,0,3,9,5736.77,4
210000195406066678,68,0,0,2,7,4319.43,4
15000019820908791X,80,0,0,2,18,11848.32,5
230000197206176111,66,0,0,0,5,1559.02,4
520000195707311588,67,0,0,4,6,2692.9800000000005,4
420000199209263207,68,0,0,1,7,3643.75,4
650000197309044726,73,0,0,3,11,5763.689999999999,4
340000198305172036,61,0,0,0,5,2918.7200000000003,4
360000197302145357,66,0,0,0,10,4657.860000000001,4
650000197703059942,71,0,0,4,3,4631.679999999999,4
110000199712157740,80,0,0,3,8,4260.24,4
640000196402012175,80,0,0,2,5,4440.98,4
21000019830813137X,72,0,0,4,5,3956.66,3
520000195909301695,76,0,0,3,7,4515.4400000000005,4
34000020040720107X,73,0,0,3,6,5168.35,4
430000199203319718,75,0,0,3,8,5864.919999999999,4
450000200203288172,68,0,0,5,5,5782.599999999999,4
510000195002119631,72,0,0,4,13,6429.750000000001,5
320000195306230384,61,0,0,4,5,4571.290000000001,4
510000196404122408,70,0,0,2,11,5961.740000000001,4
130000196605199363,79,0,0,2,6,3651.28,4
500000195711263183,71,0,0,2,7,4157.530000000001,4
630000195708034709,77,0,0,0,6,3580.87,4
360000195812249835,91,0,0,4,6,3035.2,3
320000196304157376,87,0,0,2,12,8331.73,4
540000198003034399,68,0,0,3,6,4687.860000000001,4
150000196509178988,52,0,0,2,4,4042.21,4
640000198903128183,72,0,0,1,12,5048.679999999999,4
370000199208179607,84,0,0,3,9,5449.08,4
620000197811203977,81,0,0,6,7,3812.23,4
510000200301198310,84,0,0,0,8,2958.39,4
110000199309132842,77,0,0,8,7,6032.219999999999,4
140000198704135083,70,0,0,2,14,7489.85,5
130000195009084741,66,0,0,3,2,2686.69,4
520000199901267259,65,0,0,2,12,5126.44,4
360000195511106929,85,0,0,4,11,7991.030000000002,4
650000199909244720,89,0,0,3,12,9487.41,3
340000200611232455,64,0,0,3,10,6117.780000000001,4
410000199705276902,79,0,0,5,6,5572.84,4
430000195406240147,71,0,0,4,4,3570.5399999999995,4
230000200312113928,68,0,0,1,12,7470.98,4
510000199404150592,63,0,0,2,5,3687.27,4
110000197607077360,80,0,0,2,10,6559.8,4
350000199209027396,78,0,0,3,6,4553.09,4
430000195512092563,78,0,0,1,8,6314.99,4
440000199711023392,65,0,0,4,8,5446.46,4
420000200204065952,80,0,0,1,13,7262.59,4
140000197807244392,78,0,0,5,14,9274.509999999998,5
520000196408216315,83,0,0,3,16,8128.479999999998,5
630000199710284609,59,0,0,0,6,1991.88,4
350000198609112026,73,0,0,1,7,3434.19,4
330000196406172448,66,0,0,1,9,5770.799999999999,4
350000198404066812,70,0,0,1,7,4839.2,4
610000200607236053,73,0,0,1,7,5369.01,4
440000199207087936,70,0,0,0,10,5286.22,4
140000198203095917,75,0,0,3,9,4059.7000000000007,4
440000196102211642,80,0,0,1,12,6305.360000000001,4
330000198609011184,71,0,0,1,10,6246.349999999999,3
620000198701245038,76,0,0,1,9,4142.92,4
340000195903131265,68,0,0,4,4,2667.16,4
140000198410203765,59,0,0,0,5,2924.52,4
410000196405043580,75,0,0,0,10,4999.77,4
510000199207263803,80,0,0,5,3,3534.3,4
610000197702116290,73,0,0,2,14,8435.33,5
150000200210319714,69,0,0,2,9,6421.58,4
44000019900405662X,52,0,0,2,4,2541.47,4
120000200108014935,70,0,0,2,11,6191.5,4
440000196403209896,84,0,0,2,4,3349.48,4
370000200206282331,93,0,0,3,12,7097.590000000001,4
610000199711205753,61,0,0,2,8,4774.2300000000005,4
120000199611153267,71,0,0,1,8,4016.99,4
22000019870421155X,68,0,0,7,4,6845.299999999999,4
420000195502285386,71,0,0,2,8,4727.55,4
540000198603110244,75,0,0,0,9,3829.21,3
500000195302214137,73,0,0,5,8,8363.210000000001,4
