ID_JD,Total_Count_JD,Refund_Only_Count_JD,Rental_Not_Returned_Count_JD,Partial_Payment_After_Receipt_Count_JD,Payment_Without_Delivery_Count_JD,Amount_of_Loss_JD,level_JD
140000197304229756,37,0,0,1,3,985.82,4
320000195303230725,31,0,0,0,5,2221.75,3
510000196907056123,45,0,0,3,4,2578.51,4
230000197405163102,28,0,0,0,2,794.47,4
210000200604183633,27,0,0,1,3,2068.43,3
34000019640409728X,33,0,0,0,1,315.54,4
340000197902276285,39,0,0,0,4,1976.54,4
230000199609291754,46,0,0,1,5,2485.3,3
650000196902289746,36,0,0,5,3,3714.75,3
410000195802183494,34,0,0,1,6,4126.82,4
510000198808090448,37,0,0,2,2,1918.14,4
620000199701248807,41,0,0,1,7,3727.89,3
140000197804245621,37,0,0,1,3,2181.4999999999995,4
410000197812010422,40,0,0,0,8,3770.650000000001,3
320000197605082886,32,0,0,1,3,964.97,3
110000195103052769,35,0,0,1,4,2028.31,3
350000199203306626,32,0,0,1,5,3561.3,3
460000199605090376,23,0,0,0,2,1236.2,4
120000199811280674,22,0,0,1,4,2516.83,3
210000196303202459,35,0,0,1,2,1662.34,3
330000197203243589,36,0,0,2,8,3954.67,5
460000198712130615,41,0,0,3,3,3685.01,4
12000019550705210X,33,0,0,1,3,2974.24,4
420000198103074630,37,0,0,1,5,920.74,4
110000196312142298,25,0,0,2,2,1249.84,4
44000019591107628X,38,0,0,0,9,4095.24,3
500000195608244048,48,0,0,2,7,4766.53,3
620000195011159390,29,0,0,2,3,1477.89,4
370000196108021075,34,0,0,1,3,1724.03,4
440000195003050092,28,0,0,2,3,3101.94,4
140000198202056182,35,0,0,1,4,1653.0,3
120000198505263206,36,0,0,2,2,2494.6000000000004,3
320000200005278441,42,0,0,3,7,5263.360000000001,4
530000198909167591,42,0,0,3,6,3369.17,4
330000199902166999,40,0,0,1,3,1979.73,4
520000195705188184,39,0,0,3,3,3765.27,4
140000196410108777,36,0,0,1,1,306.68,4
360000195309279236,39,0,0,0,6,3451.72,3
320000200610097059,34,0,0,1,5,3819.05,3
140000196911253155,42,0,0,2,5,4812.81,4
460000197003279711,32,0,0,1,4,1519.55,4
51000019511120638X,30,0,0,0,5,2995.11,3
500000195503299886,28,0,0,1,2,1323.32,3
500000198008286694,35,0,0,2,6,3019.9300000000003,3
44000019890116655X,37,0,0,1,2,1657.9299999999998,4
220000199804066008,51,0,0,1,4,1922.76,4
610000195308237773,34,0,0,1,5,3392.9300000000003,4
440000200110235301,40,0,0,0,7,2915.19,4
450000199201037040,34,0,0,0,1,153.57,3
320000197901305191,35,0,0,0,8,3765.18,4
530000195206175444,43,0,0,3,6,4394.469999999999,4
420000197207139211,40,0,0,1,7,5225.72,4
110000196107033172,31,0,0,0,3,2287.09,3
220000197308279398,41,0,0,1,4,1386.45,4
340000196008064451,41,0,0,0,5,3331.17,3
150000198106031681,42,0,0,3,4,3673.7,3
350000196604062956,40,0,0,1,5,2929.3700000000003,4
350000196005189947,34,0,0,1,3,2286.41,4
320000197504307548,39,0,0,4,4,4241.3,4
500000197706219216,31,0,0,1,4,2014.44,4
360000198802157746,38,0,0,2,1,1304.13,4
150000196602274886,29,0,0,0,3,1348.46,4
330000196807096685,39,0,0,2,8,3864.88,3
22000019860518092X,36,0,0,2,2,2487.43,4
530000197006217303,40,0,0,0,5,915.88,3
630000197312166739,42,0,0,1,6,2913.74,3
150000196008088685,32,0,0,1,4,2509.69,3
500000197309129276,49,0,0,3,4,3657.5,4
310000198812046100,44,0,0,2,6,3815.27,3
410000200103249638,35,0,0,0,7,3108.94,4
310000195302100046,40,0,0,2,7,2891.26,4
530000200406163142,35,0,0,1,4,2541.53,4
440000197001206160,46,0,0,2,5,2918.65,4
340000200008164726,45,0,0,1,6,2992.97,3
440000198312195707,44,0,0,1,2,1533.39,4
110000196801229634,33,0,0,0,7,3421.57,3
520000195603299334,35,0,0,0,3,1435.2800000000002,4
23000019970923161X,45,0,0,3,6,3935.08,3
54000020000706646X,33,0,0,0,4,1783.2800000000002,3
110000196203099374,40,0,0,2,5,3906.3,4
620000198105195687,36,0,0,1,6,4849.1,4
530000197912105899,43,0,0,0,4,1271.79,4
540000195210269859,52,0,0,1,9,5411.85,4
210000195305201084,37,0,0,2,2,1063.98,3
630000199011234477,36,0,0,1,4,4329.51,3
530000195005088096,33,0,0,1,2,1930.58,3
360000195003184090,40,0,0,1,6,4205.130000000001,3
310000195811199689,28,0,0,1,3,3125.58,4
140000200503017654,37,0,0,2,1,1332.14,3
620000200508147241,52,0,0,2,9,4497.86,3
420000197308316643,33,0,0,1,1,911.39,4
340000200204085232,33,0,0,3,4,3397.3099999999995,3
650000195006062952,35,0,0,3,0,1090.5,4
130000199005243184,45,0,0,1,6,3244.05,3
120000198009026244,41,0,0,2,9,6240.030000000001,5
120000197110121217,46,0,0,1,3,2412.9,4
510000197212175761,37,0,0,1,4,2023.32,3
430000195308142244,44,0,0,0,4,2549.6400000000003,4
320000199402148776,43,0,0,0,9,5719.900000000001,4
230000199109231050,39,0,0,2,4,2757.84,4
340000199306080437,33,0,0,2,4,2824.0400000000004,4
330000196108073660,38,0,0,3,5,3854.06,4
610000196805234201,37,0,0,2,5,3079.8299999999995,3
23000019630618937X,43,0,0,2,4,1790.85,4
540000196802083075,39,0,0,2,5,2962.59,4
460000195701213868,41,0,0,1,8,2968.4,4
46000019950406016X,32,0,0,1,4,3009.53,4
510000199312197633,34,0,0,3,4,1975.58,4
540000197711240463,35,0,0,0,3,1090.88,3
360000196601305205,45,0,0,0,4,2084.93,3
610000195004264772,39,0,0,1,6,4569.530000000001,3
640000198907316448,38,0,0,0,5,3755.36,4
41000019981014395X,36,0,0,1,4,3321.3100000000004,4
530000195607016938,35,0,0,0,4,1744.9700000000005,4
350000197809292872,35,0,0,0,3,1448.0700000000002,4
610000200602192231,42,0,0,2,7,3677.47,4
540000198504225871,32,0,0,1,7,4731.25,5
650000196808230684,44,0,0,3,7,4621.9800000000005,3
510000198009041762,39,0,0,0,3,1103.25,3
130000195605230039,32,0,0,1,6,3611.35,4
120000196201213024,43,0,0,2,5,2555.05,4
450000196608204214,35,0,0,0,4,1791.81,4
150000200008104971,35,0,0,0,3,1270.27,3
650000196404157089,34,0,0,2,3,2085.57,3
340000196910218849,23,0,0,0,5,2293.7,3
510000197110140592,45,0,0,0,5,3142.65,3
120000195104106687,41,0,0,4,4,4005.7800000000007,3
320000200010248263,43,0,0,6,3,3790.230000000001,3
120000200406222134,27,0,0,1,1,1169.94,3
110000197305195564,37,0,0,0,0,0.0,1
520000200509229632,23,0,0,0,5,2106.87,4
530000195102074219,45,0,0,1,3,979.61,3
500000196812156998,34,0,0,2,3,2616.93,3
360000200206123611,35,0,0,3,3,1802.36,3
540000199306059328,39,0,0,0,10,5677.59,5
210000200603098023,38,0,0,0,5,2853.75,3
650000196104301923,38,0,0,1,6,4373.9,3
420000197501263141,29,0,0,1,4,3352.38,4
220000195112132707,39,0,0,1,5,1861.72,4
210000195406066678,40,0,0,2,4,2096.1600000000003,4
15000019820908791X,42,0,0,1,10,6166.84,5
230000197206176111,27,0,0,0,2,652.89,4
520000195707311588,31,0,0,0,5,1415.0500000000002,4
420000199209263207,31,0,0,0,6,2761.34,4
650000197309044726,39,0,0,2,5,2707.58,4
340000198305172036,25,0,0,0,1,820.77,4
360000197302145357,41,0,0,0,4,1484.19,4
650000197703059942,39,0,0,1,2,2224.04,4
110000199712157740,53,0,0,2,6,2727.71,4
640000196402012175,29,0,0,2,0,1051.35,4
21000019830813137X,38,0,0,4,3,2758.43,3
520000195909301695,42,0,0,1,5,2887.11,3
34000020040720107X,42,0,0,1,6,4173.42,4
430000199203319718,43,0,0,2,5,3587.11,4
450000200203288172,35,0,0,3,0,1843.55,4
510000195002119631,36,0,0,4,9,5059.160000000001,5
320000195306230384,37,0,0,3,5,4291.1900000000005,3
510000196404122408,33,0,0,1,2,923.66,4
130000196605199363,44,0,0,1,3,1527.32,3
500000195711263183,40,0,0,2,3,2985.92,4
630000195708034709,46,0,0,0,5,2658.83,3
360000195812249835,49,0,0,3,4,2329.35,3
320000196304157376,37,0,0,2,5,3092.28,3
540000198003034399,32,0,0,2,4,3188.17,4
150000196509178988,25,0,0,1,1,1315.1,4
640000198903128183,42,0,0,1,7,2520.73,4
370000199208179607,52,0,0,2,4,3190.2200000000003,4
620000197811203977,45,0,0,2,3,1497.93,3
510000200301198310,42,0,0,0,7,2888.58,4
110000199309132842,36,0,0,4,3,2318.17,4
140000198704135083,39,0,0,1,8,3650.06,4
130000195009084741,40,0,0,3,1,1851.35,4
520000199901267259,33,0,0,1,4,2127.32,4
360000195511106929,44,0,0,3,4,4203.860000000001,3
650000199909244720,40,0,0,3,6,4779.06,3
340000200611232455,33,0,0,3,8,5145.51,5
410000199705276902,40,0,0,2,2,2318.31,4
430000195406240147,26,0,0,2,2,1701.67,4
230000200312113928,33,0,0,0,4,2463.08,4
510000199404150592,28,0,0,1,1,1051.11,3
110000197607077360,44,0,0,0,7,3284.1400000000003,4
350000199209027396,41,0,0,2,4,2598.67,4
430000195512092563,38,0,0,0,4,2737.88,4
440000199711023392,36,0,0,4,6,4804.54,5
420000200204065952,40,0,0,0,5,2691.37,4
140000197807244392,40,0,0,1,8,4913.03,4
520000196408216315,41,0,0,1,11,3681.459999999999,5
630000199710284609,30,0,0,0,3,915.03,4
350000198609112026,39,0,0,0,3,1145.42,3
330000196406172448,29,0,0,1,4,2623.37,4
350000198404066812,33,0,0,1,3,1991.24,4
610000200607236053,34,0,0,1,4,3582.13,4
440000199207087936,39,0,0,0,5,3090.9500000000003,3
140000198203095917,36,0,0,3,4,2028.7200000000005,4
440000196102211642,42,0,0,1,4,1659.08,3
330000198609011184,21,0,0,0,2,1104.0,3
620000198701245038,36,0,0,1,7,2994.5,3
340000195903131265,38,0,0,1,4,1260.44,4
140000198410203765,27,0,0,0,1,592.75,3
410000196405043580,32,0,0,0,5,2921.13,4
510000199207263803,47,0,0,3,1,1754.39,4
610000197702116290,37,0,0,1,7,4729.629999999999,4
150000200210319714,33,0,0,2,5,3969.05,4
44000019900405662X,29,0,0,1,3,1868.66,4
120000200108014935,31,0,0,1,5,2754.19,3
440000196403209896,43,0,0,0,3,1647.61,4
370000200206282331,46,0,0,2,6,3638.16,3
610000199711205753,33,0,0,1,5,2515.12,4
120000199611153267,32,0,0,1,2,1273.7599999999998,4
22000019870421155X,29,0,0,4,3,4442.26,4
420000195502285386,37,0,0,1,3,1403.0500000000002,4
540000198603110244,47,0,0,0,7,2798.48,3
500000195302214137,35,0,0,3,2,2860.3,4
360000200105071744,36,0,0,1,2,1784.93,4
140000200207258752,34,0,0,1,5,2585.59,4
210000199707092544,33,0,0,2,6,3843.93,3
410000195503082300,29,0,0,0,4,1870.12,4
110000197205074394,44,0,0,1,6,3337.01,3
370000195311277346,40,0,0,2,4,1507.2199999999998,3
610000196007301991,30,0,0,1,1,809.9499999999999,4
450000197906047100,39,0,0,0,4,2927.8499999999995,4
420000198312115558,46,0,0,2,1,844.73,4
44000019531017065X,28,0,0,1,4,2001.88,4
110000199207282911,37,0,0,0,5,3206.39,4
220000199112290033,32,0,0,0,8,5030.77,5
36000019911023563X,33,0,0,3,3,2296.05,4
640000195807028162,29,0,0,3,6,4436.78,5
210000196003270222,26,0,0,2,4,3858.57,4
370000198111039638,45,0,0,1,5,2337.27,3
500000199609249535,41,0,0,0,4,3178.97,3
640000196703295893,33,0,0,0,2,1924.12,3
340000199808290004,26,0,0,0,3,1670.9499999999998,4
130000199602201580,33,0,0,0,2,1814.8,3
120000198503256934,28,0,0,0,3,2227.8,4
520000200008179892,32,0,0,2,6,3222.01,3
540000197311195106,42,0,0,2,5,2838.83,3
330000198306183798,38,0,0,1,4,2827.2,3
37000019560330975X,30,0,0,2,3,1875.99,4
23000019861223203X,40,0,0,0,9,3773.82,3
440000200607074128,27,0,0,2,4,3449.28,4
620000197806211358,37,0,0,3,3,2473.59,4
370000198109202344,28,0,0,0,1,708.73,4
520000196109101024,34,0,0,0,3,1547.0500000000002,4
500000199907013571,43,0,0,4,1,2821.15,4
620000198301306225,37,0,0,0,3,2085.79,3
630000198808171237,32,0,0,0,5,3332.01,3
410000196305243198,37,0,0,0,8,3759.54,4
330000200605179430,40,0,0,0,4,2087.93,3
52000019540326978X,33,0,0,2,3,2727.86,4
510000195506085201,30,0,0,2,4,3048.96,4
450000198010025122,37,0,0,2,7,4197.61,3
510000196701093703,35,0,0,0,2,582.75,4
51000019890722312X,33,0,0,1,5,2504.51,3
340000198111068433,34,0,0,1,2,1575.82,4
140000199006073035,32,0,0,2,5,1983.2,4
330000198308085251,37,0,0,3,2,2349.91,4
150000200408283665,43,0,0,3,7,5620.349999999999,4
610000198212111715,45,0,0,1,8,3946.97,3
120000197211089236,38,0,0,1,6,4297.28,3
530000200312264743,38,0,0,2,1,1168.94,4
52000019910728086X,29,0,0,1,0,39.02,4
460000196710223624,35,0,0,1,7,4474.110000000001,4
640000196805225175,28,0,0,1,3,772.0899999999999,3
110000199311089038,32,0,0,2,5,3479.4800000000005,4
650000199901205954,36,0,0,0,4,2179.04,3
370000197703190679,35,0,0,3,5,4209.48,3
500000198210269732,43,0,0,4,6,4547.360000000001,3
53000019961020521X,32,0,0,3,1,1211.0,3
12000019550511758X,30,0,0,1,4,3353.32,4
230000199907017171,37,0,0,1,2,1342.96,3
510000200501077185,34,0,0,0,4,1824.74,4
620000200604219954,35,0,0,0,3,1885.25,4
230000195303217991,52,0,0,1,4,3108.33,4
130000195408183608,29,0,0,0,2,1824.57,3
520000197712208787,34,0,0,1,3,1677.08,3
410000198405201314,35,0,0,1,6,3038.12,4
520000200207061459,38,0,0,2,5,3309.99,3
110000197306029779,34,0,0,1,2,1430.38,4
360000198004139359,32,0,0,1,6,3026.53,4
360000195902121085,43,0,0,3,3,2423.41,3
610000198503100733,44,0,0,0,4,1737.52,4
110000196302075634,35,0,0,0,1,749.54,3
420000197508312321,34,0,0,1,6,4260.759999999999,4
150000199506125833,42,0,0,1,3,2536.49,3
120000197605086863,31,0,0,1,4,2985.44,4
43000019810827756X,43,0,0,1,6,2709.01,3
340000197709085487,34,0,0,1,7,3671.69,4
530000199206063918,40,0,0,3,10,6727.79,5
530000198206282681,32,0,0,0,1,878.07,4
350000198902220245,35,0,0,3,3,2082.21,3
150000199110112251,30,0,0,0,3,1859.53,4
320000197108228231,37,0,0,2,2,1373.62,3
370000197002021258,39,0,0,0,5,2986.47,3
370000196305308956,31,0,0,0,2,1007.96,4
120000198108138612,35,0,0,2,1,2151.11,3
430000195710280151,28,0,0,3,2,1843.76,3
53000019590504737X,39,0,0,4,4,3582.17,3
22000019591107972X,40,0,0,3,5,2438.34,3
630000199508093913,38,0,0,2,2,1938.29,4
220000198504147602,29,0,0,0,4,2336.26,4
210000197208054528,28,0,0,0,3,506.35,4
440000197609230433,33,0,0,2,2,1784.6,3
140000195312103986,39,0,0,1,4,2479.94,4
630000197709280548,43,0,0,2,4,3034.57,3
460000197605070464,41,0,0,0,7,2799.82,3
650000196801200327,42,0,0,0,3,1765.79,4
320000198805052635,41,0,0,1,4,2290.71,4
140000198006117857,42,0,0,0,7,3062.9500000000003,4
360000199707023226,40,0,0,1,9,4201.2300000000005,3
14000019631224832X,39,0,0,0,5,2877.33,4
540000195912224997,41,0,0,0,5,2891.03,4
220000196211294968,34,0,0,2,3,2021.14,3
220000195712300997,42,0,0,4,4,2183.8700000000003,4
22000019510325020X,34,0,0,1,7,4636.06,4
210000197301221271,43,0,0,4,4,4091.32,3
330000195504224200,33,0,0,2,6,4449.75,4
230000197812283961,46,0,0,1,2,845.5899999999999,4
320000195706082165,31,0,0,0,1,548.37,4
650000195708248583,28,0,0,2,2,2040.26,3
460000196109023576,46,0,0,1,6,2840.56,3
450000196708297665,41,0,0,1,5,3524.02,4
230000198708269355,37,0,0,1,4,2758.48,4
350000196008218408,34,0,0,1,4,2175.43,3
340000195803275667,33,0,0,1,4,2158.1800000000003,3
230000197711133454,39,0,0,3,2,2071.48,4
22000019630206077X,37,0,0,1,3,1708.72,3
370000198311117354,38,0,0,1,4,2718.82,3
420000199204220662,43,0,0,1,2,1738.04,3
330000198004061146,30,0,0,1,2,1557.98,3
120000199304260417,44,0,0,0,5,2152.53,3
110000197307036268,28,0,0,1,3,1051.49,4
610000195202297612,35,0,0,2,3,2037.99,3
230000196310199343,51,0,0,6,7,5710.31,5
630000197701215012,42,0,0,3,4,3059.2,4
630000196509291811,46,0,0,3,7,5436.450000000001,3
520000198404217889,33,0,0,0,7,3237.17,4
140000196304187088,48,0,0,2,4,2500.78,4
440000199603308139,49,0,0,2,5,2957.72,4
13000019770207249X,40,0,0,0,3,661.06,4
610000200305284551,36,0,0,3,4,3851.52,4
130000198307201874,40,0,0,1,4,1978.3,3
11000019561101526X,35,0,0,3,2,1949.9,4
370000200108317297,38,0,0,0,3,1980.89,4
150000196109120453,28,0,0,1,0,471.1600000000001,4
210000197310134858,35,0,0,1,6,3428.21,4
430000195205064343,24,0,0,1,4,1632.62,4
450000198008167463,36,0,0,0,2,1159.32,3
500000195511187876,41,0,0,1,3,2567.65,4
450000195204207043,34,0,0,0,0,0.0,1
110000198601306307,38,0,0,3,3,1834.51,4
540000199004160623,39,0,0,5,5,5161.74,5
530000196411273734,31,0,0,1,2,978.35,3
350000196512203301,32,0,0,0,3,1954.98,3
110000199509043764,34,0,0,3,8,5150.360000000001,5
41000019520429440X,32,0,0,0,3,2381.88,3
440000195608197767,38,0,0,2,4,2910.82,3
440000200301288238,37,0,0,4,5,3838.68,3
350000196008194936,35,0,0,1,2,1603.43,4
45000019671213579X,31,0,0,1,5,3456.53,3
230000197112257375,31,0,0,2,1,891.5799999999999,4
23000019640506285X,32,0,0,1,1,860.1699999999998,4
42000019620914831X,43,0,0,0,5,1771.39,4
500000197204034780,27,0,0,3,4,3008.3900000000003,3
450000200609133760,36,0,0,2,6,4305.76,3
540000195407068284,40,0,0,0,3,1471.65,4
360000195502119015,40,0,0,2,6,3239.23,4
460000198908255006,34,0,0,2,5,3242.46,3
540000199606247160,31,0,0,2,5,2518.55,4
510000195606186376,37,0,0,1,1,866.0,3
620000200102115346,47,0,0,2,2,2446.34,3
340000200606165366,39,0,0,1,6,3742.44,4
210000198103247926,44,0,0,3,3,3497.97,4
220000196304192389,46,0,0,1,3,1447.63,4
37000019601013408X,45,0,0,0,4,2933.61,4
430000199405027545,32,0,0,0,3,1439.0800000000002,4
500000197001303135,47,0,0,3,4,4021.55,4
440000199212253820,37,0,0,1,3,1478.5,4
120000195505076458,33,0,0,3,3,2462.46,3
120000196812188104,32,0,0,0,6,2030.52,4
410000198504276645,45,0,0,0,10,6647.120000000001,5
420000197002107910,33,0,0,1,4,2915.42,4
360000197007075923,40,0,0,1,5,3108.58,4
430000195908121973,41,0,0,4,3,3681.35,3
430000196409033623,38,0,0,4,8,5910.28,5
630000197211248356,32,0,0,4,2,2666.62,4
620000197001106876,45,0,0,3,2,2679.29,4
510000195502244594,38,0,0,2,4,2075.12,4
460000195211291695,33,0,0,1,3,1823.47,3
150000195712232818,34,0,0,0,3,1296.19,3
460000200012161744,39,0,0,0,5,1996.59,4
63000019630601606X,30,0,0,0,3,1480.2599999999998,4
53000019871103892X,38,0,0,3,9,6491.240000000001,5
420000196504194036,38,0,0,2,4,3272.88,3
460000200110026618,37,0,0,0,6,2815.89,3
370000197208109757,47,0,0,2,5,3194.98,4
630000196612137935,34,0,0,2,6,4686.85,4
640000195508275577,45,0,0,0,9,2541.49,4
110000195703191674,32,0,0,3,4,2653.85,4
310000197707307781,44,0,0,3,5,3900.38,4
440000199502268772,55,0,0,2,8,5160.86,4
310000198412279298,54,0,0,1,8,3009.15,4
520000195905160784,41,0,0,4,5,3179.77,4
620000200210141146,35,0,0,1,4,2321.73,4
36000019810731624X,33,0,0,4,2,2995.54,3
360000197903041705,28,0,0,2,3,2193.2699999999995,4
440000197105131095,39,0,0,2,2,2268.06,4
530000196202038383,29,0,0,2,3,1563.63,3
220000197810208851,44,0,0,1,2,1590.99,3
150000198701022894,38,0,0,1,5,3997.12,4
630000195002087593,31,0,0,1,2,1678.87,3
410000200404264815,31,0,0,1,5,2761.93,3
110000197302070117,25,0,0,0,4,2089.73,4
450000199310163433,38,0,0,1,7,2008.3,4
360000200312285972,35,0,0,2,3,2955.89,3
530000200309266393,33,0,0,1,7,2817.5400000000004,4
520000198806105919,31,0,0,3,7,5563.01,5
350000198012091189,30,0,0,2,4,2572.0,3
440000197710069533,44,0,0,0,6,2348.88,3
140000196106154859,35,0,0,1,3,1430.9899999999998,4
320000198611169798,40,0,0,1,6,3226.28,3
440000195709027599,24,0,0,2,2,2232.68,3
500000195709043384,31,0,0,1,4,3003.88,3
350000199504077943,37,0,0,0,8,2657.44,4
370000196004027472,38,0,0,1,6,3629.460000000001,4
120000196905226755,34,0,0,3,5,4369.59,4
530000198706045535,37,0,0,0,4,2473.91,3
50000019830422296X,33,0,0,0,6,1963.21,3
530000199506225667,35,0,0,4,5,4449.33,3
510000199703073822,36,0,0,4,4,4929.959999999999,4
130000198411108637,31,0,0,0,2,1295.76,3
440000199403165487,33,0,0,3,1,1581.5,4
610000195006028685,38,0,0,2,6,2563.82,4
650000200211287740,42,0,0,3,2,2082.8500000000004,4
130000198302224807,34,0,0,1,4,2171.89,4
230000195111109363,25,0,0,0,2,1361.07,4
460000199102156898,45,0,0,0,6,2852.11,4
630000198711294417,46,0,0,1,10,4728.23,3
370000196402178348,30,0,0,1,2,1576.63,4
410000195902224628,33,0,0,1,5,3536.28,4
510000196109257107,38,0,0,3,3,1652.04,4
220000197009272946,38,0,0,2,8,4433.5,5
43000019621206897X,38,0,0,1,6,4205.65,3
640000198612168126,35,0,0,4,4,2742.2000000000003,4
320000197907052818,42,0,0,0,6,2004.02,4
340000197903264964,37,0,0,3,3,3836.45,3
500000198906011756,36,0,0,1,4,2934.08,3
450000195906164244,30,0,0,1,2,947.56,4
640000197505112229,39,0,0,4,4,2819.62,4
33000019530710893X,47,0,0,0,3,758.62,3
440000200111262352,34,0,0,2,4,3279.79,3
220000199108243306,34,0,0,3,5,3825.97,4
140000196103263259,32,0,0,2,7,4732.4400000000005,5
11000019801230635X,28,0,0,1,0,491.3200000000001,3
50000019780703785X,32,0,0,1,5,2776.0399999999995,4
620000198109129839,39,0,0,0,3,441.19,4
35000019811007469X,46,0,0,2,6,4151.82,4
45000019551007519X,37,0,0,0,2,975.39,4
12000019920901009X,35,0,0,1,2,1939.52,4
360000198805096459,29,0,0,2,5,3167.93,4
650000198410280648,29,0,0,1,2,1496.54,4
130000196508276144,31,0,0,2,6,4592.37,3
450000197710126122,50,0,0,1,6,3024.0,4
420000199706111132,34,0,0,3,4,1143.41,4
430000199101134907,26,0,0,1,3,1943.03,4
220000197206113709,34,0,0,1,4,2211.17,3
220000196904049877,38,0,0,2,2,2238.79,3
430000200112187364,42,0,0,0,7,2615.99,3
140000196704064423,43,0,0,1,6,5288.23,4
220000200106280184,42,0,0,0,6,3983.32,4
360000198408100944,43,0,0,1,5,1369.1799999999998,3
610000197108261313,43,0,0,1,8,3636.92,3
420000195303074172,34,0,0,1,8,3234.9500000000003,3
530000195102085962,30,0,0,1,2,2007.22,4
340000197307035022,38,0,0,2,2,2499.68,3
43000019660214603X,33,0,0,1,2,1233.48,3
340000197406284526,29,0,0,1,4,2509.53,4
37000020001123193X,35,0,0,3,4,3505.59,4
210000196001048791,31,0,0,0,5,2203.6800000000003,3
530000199311061703,41,0,0,3,5,3513.65,4
460000199103075176,35,0,0,1,5,3031.63,4
140000199112196135,29,0,0,2,4,2577.81,3
150000197111162649,40,0,0,3,4,3692.59,4
15000019660829743X,36,0,0,0,2,1013.48,3
140000199010068968,40,0,0,3,8,5553.969999999999,5
460000195512218694,28,0,0,1,7,3844.06,5
350000196204086748,36,0,0,1,7,5164.72,3
370000195706152986,34,0,0,1,3,2129.63,4
360000199808311200,47,0,0,1,7,3104.75,4
540000198603150537,37,0,0,2,5,3563.83,4
310000195802206883,48,0,0,1,3,1336.0,4
230000199307199856,43,0,0,0,3,2071.75,4
320000195509090457,30,0,0,1,4,1638.1,4
430000199608119896,41,0,0,2,3,2320.6800000000003,3
410000200603128058,46,0,0,3,7,4869.05,3
450000197001281306,37,0,0,1,6,3653.26,4
540000197105147816,41,0,0,1,4,3314.78,3
35000020030621018X,35,0,0,0,5,2750.2499999999995,3
310000195304054872,27,0,0,3,5,3679.22,5
120000195305052697,47,0,0,2,6,3476.16,4
520000196708175607,35,0,0,0,3,1490.48,4
630000195601153310,28,0,0,1,5,1680.46,3
150000196005152792,34,0,0,1,6,3508.97,3
360000200304300650,41,0,0,1,8,4408.13,4
350000196703239753,38,0,0,0,1,988.93,4
320000195605231061,25,0,0,1,4,1469.2,3
210000198311049115,49,0,0,3,6,4733.52,4
420000200310189713,43,0,0,1,3,1321.01,4
500000198208084069,29,0,0,1,1,497.63,4
220000199905189816,36,0,0,0,4,1622.64,4
210000199512144113,40,0,0,0,9,4641.120000000001,4
650000198508099476,29,0,0,1,3,2384.51,4
110000195704146023,41,0,0,0,3,2290.54,4
64000019580602395X,31,0,0,0,3,929.83,3
410000200311171396,29,0,0,1,0,551.71,3
540000195506212683,33,0,0,1,5,3577.9700000000003,3
37000019980506877X,38,0,0,2,4,2759.05,4
620000199212037128,29,0,0,1,5,2679.13,4
630000195204019855,41,0,0,1,8,5000.730000000001,4
640000199706070044,49,0,0,5,3,2473.18,3
330000198009167548,36,0,0,1,5,2826.6800000000003,4
53000020030809338X,44,0,0,0,7,3951.65,4
310000198601064616,35,0,0,1,2,2084.06,4
