ID,Total_Count_x,Refund_Only_Count_x,Rental_Not_Returned_Count_x,Partial_Payment_After_Receipt_Count_x,Payment_Without_Delivery_Count_x,Amount_of_Loss_x,level_x,Total_Count_y,Refund_Only_Count_y,Rental_Not_Returned_Count_y,Partial_Payment_After_Receipt_Count_y,Payment_Without_Delivery_Count_y,Amount_of_Loss_y,level_y,level
21000019810728250X,18,0,0,2,1,1074.3300000000002,4,20,0,0,0,0,0.0,1,2.5
530000197506034773,25,0,0,2,4,3014.33,3,25,0,0,0,0,0.0,1,2.0
450000196703256186,28,0,0,0,4,2693.49,3,18,0,0,0,0,0.0,1,2.0
500000198008232848,19,0,0,1,2,1469.15,4,19,0,0,0,0,0.0,1,2.5
450000197402288488,22,0,0,2,4,2599.12,3,24,0,0,0,0,0.0,1,2.0
360000196312107157,16,0,0,0,2,1125.09,3,41,0,0,0,0,0.0,1,2.0
630000195108252323,26,0,0,0,3,1308.55,3,25,0,0,0,0,0.0,1,2.0
420000199505248298,26,0,0,3,2,2273.27,3,37,0,0,0,0,0.0,1,2.0
320000199806261839,20,0,0,0,2,1062.66,3,26,0,0,0,0,0.0,1,2.0
230000198907202276,25,0,0,0,4,1282.61,4,31,0,0,0,0,0.0,1,2.5
340000195706277871,24,0,0,0,1,875.9,4,22,0,0,0,0,0.0,1,2.5
330000199103075978,16,0,0,1,3,3273.41,3,34,0,0,0,0,0.0,1,2.0
370000196012251570,30,0,0,3,1,1782.74,4,23,0,0,0,0,0.0,1,2.5
420000195903311792,25,0,0,1,2,941.27,3,22,0,0,0,0,0.0,1,2.0
110000199604119763,31,0,0,1,7,3701.47,3,22,0,0,0,0,0.0,1,2.0
420000196712031506,26,0,0,1,1,1180.95,3,25,0,0,0,0,0.0,1,2.0
110000198306195640,20,0,0,0,3,2063.37,3,29,0,0,0,0,0.0,1,2.0
620000196903280203,24,0,0,2,2,1566.4899999999998,3,28,0,0,0,0,0.0,1,2.0
650000198704266577,20,0,0,1,0,108.4,4,24,0,0,0,0,0.0,1,2.5
62000019660525105X,25,0,0,1,2,1253.6999999999998,4,24,0,0,0,0,0.0,1,2.5
350000199312079231,30,0,0,0,3,1272.55,4,28,0,0,0,0,0.0,1,2.5
110000199106014782,21,0,0,0,5,2193.8,3,30,0,0,0,0,0.0,1,2.0
620000195906244895,22,0,0,2,4,1999.79,3,21,0,0,0,0,0.0,1,2.0
54000019550707725X,23,0,0,0,3,2288.89,4,22,0,0,0,0,0.0,1,2.5
310000195103225110,14,0,0,2,3,2750.67,5,21,0,0,0,0,0.0,1,3.0
340000196110176716,22,0,0,0,3,2293.13,4,24,0,0,0,0,0.0,1,2.5
640000199212048023,22,0,0,0,0,0.0,1,32,0,0,0,0,0.0,1,1.0
220000197807281126,22,0,0,0,0,0.0,1,29,0,0,0,0,0.0,1,1.0
610000199310275769,17,0,0,0,3,1837.24,4,27,0,0,0,0,0.0,1,2.5
500000195111239972,17,0,0,1,5,2938.96,5,23,0,0,0,0,0.0,1,3.0
340000198501274355,22,0,0,1,3,2433.74,3,24,0,0,0,0,0.0,1,2.0
610000195402083344,9,0,0,0,4,1767.6999999999998,5,22,0,0,0,0,0.0,1,3.0
120000197712129726,16,0,0,1,5,2368.7300000000005,5,32,0,0,0,0,0.0,1,3.0
540000197808283195,13,0,0,2,5,3129.5,5,29,0,0,0,0,0.0,1,3.0
140000196911079142,24,0,0,4,8,4841.63,5,24,0,0,0,0,0.0,1,3.0
230000197212158825,11,0,0,0,2,1104.86,4,31,0,0,0,0,0.0,1,2.5
520000198603151923,21,0,0,2,6,2984.84,5,34,0,0,0,0,0.0,1,3.0
430000198507249996,15,0,0,2,5,3307.51,5,27,0,0,0,0,0.0,1,3.0
