Order_ID_XY,Real_Name_User(ID Card),Seller_Information_(ID Card),Product_Information_XY,Product_Amount_XY,Order_Creation_Time_XY,Payment_Time_XY,Shipping_Time_XY,Receiving_Time_XY,Refund_Time_XY,Return_Time_XY,Payment_Amount_XY,Refund_Amount_XY,Platform_Type_XY
2aaf9b27-bd35-4c36-96b4-44086e57b9ad,340000199203195944,620000199601308403,运动户外健身器材迪卡侬Decathlon Dumbbells,377.37,2024-08-18 00:48:59,2024-08-18 00:48:59,9999,9999,9999,9999,377.37,0.0,XY
4759365a-191f-4079-bc45-3939f833b40d,620000199601308403,520000197004058319,鞋靴皮鞋乔丹Jordan Dress Shoes,617.56,2024-08-18 00:48:59,2024-08-18 00:48:59,2025-01-27 18:42:15,2025-11-16 15:41:27,2025-06-25 02:47:11,9999,617.56,617.56,XY
da4beaab-d028-49e1-97ab-f27fe341a4f8,510000197901104651,110000197807035632,美妆护肤护肤品欧莱雅欧莱雅复颜抗皱,427.5,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-09-07 14:22:01,2024-06-16 09:30:53,2024-09-16 19:46:17,9999,427.5,427.5,XY
c2383fbf-6d5b-4896-9e99-6679b5e7b7c4,540000197103264349,460000197010013428,食品酒饮零食百事百事烧烤口味,577.78,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-09-20 04:01:20,2024-09-07 03:42:54,9999,9999,577.78,0.0,XY
74d751a0-c437-41e4-8a74-60f818c93a5e,340000199203195944,460000197010013428,家居家装家居用品全友全友窗帘,538.37,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-07-12 12:56:54,2025-03-06 01:52:34,2025-09-24 22:09:26,9999,538.37,538.37,XY
770aa494-22c4-4466-85ae-7abb8e31406f,510000197901104651,540000197103264349,母婴婴儿用品沐浴露婴儿洗发水,878.46,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-08-23 03:22:34,2024-08-13 15:50:51,9999,9999,351.7,0.0,XY
598d51c2-c481-4978-b53e-f5835959753d,120000195003202354,520000197004058319,家电冰箱LGLG InstaView,74.59,2024-08-18 00:48:59,2024-08-18 00:48:59,2025-05-07 09:24:52,2025-01-07 08:28:47,9999,9999,74.59,0.0,XY
ed076790-ab91-4ae2-a339-dd3a3715b6ba,620000199601308403,110000197807035632,母婴孕妇用品母乳喂养母乳喂养枕,926.29,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-03-05 07:49:31,2024-06-01 11:15:31,9999,9999,926.29,0.0,XY
cc3923d3-28f8-4b50-b461-462af9897f1b,520000197004058319,520000197004058319,家电冰箱博世Bosch Serie 6,752.11,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-07-14 12:00:29,2024-07-05 14:09:00,9999,9999,752.11,0.0,XY
92770d80-d784-4be2-ad3f-5ac3823a4765,340000199203195944,460000197010013428,鞋靴靴子UGGUGG Bailey Button,365.08,2024-08-18 00:48:59,2024-08-18 00:48:59,2024-10-13 05:52:27,2025-05-16 09:21:42,9999,9999,365.08,0.0,XY
