Order_ID_lease_platform,Real_Name_User(ID Card),Seller_Information(ID Card),Product_Information_lease_platform,Product_Amount_lease_platform,Order_Creation_Time_lease_platform,Payment_Time_lease_platform,Shipping_Time_lease_platform,Receiving_Time_lease_platform,Refund_Time_lease_platform,Return_Time_lease_platform,Payment_Amount_lease_platform,Refund_Amount_lease_platform,Platform_Type_lease_platform
2519425e-7b2b-4894-9554-424337471b74,340000198501274355,620000195906244895,儿童用品婴儿用品安抚奶嘴Nuk Pacifiers,622.11,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-07-08 20:29:13,2025-01-26 05:08:50,2026-07-11 14:11:31,2027-03-09 02:31:34,622.11,622.11,lease_platform
fbaecfde-1324-4a98-ba80-397a4d45ab75,420000199505248298,450000196703256186,个护清洁沐浴露沐浴乳沐浴乳舒缓版,350.85,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-07-17 00:35:06,2024-02-25 08:33:51,2025-03-04 16:43:21,2025-12-19 23:21:46,350.85,350.85,lease_platform
19808f52-ec65-453b-8b1e-7423b7bb20c7,220000197807281126,640000199212048023,箱包行李箱SamsoniteSamsonite Winfield 3 DLX,381.94,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-06-22 20:24:34,2024-08-08 13:05:37,2024-05-11 14:18:36,2025-06-08 02:46:05,381.94,381.94,lease_platform
1d107289-2d0e-422a-9da1-b10a09368961,220000197807281126,620000196903280203,运动户外运动鞋耐克Nike React Infinity,169.55,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-05-08 16:47:59,2025-09-02 23:23:09,9999,9999,169.55,0.0,lease_platform
8aa889d1-5ddd-4281-9ca5-d4136b271441,110000199106014782,620000196903280203,"电脑办公显示器AOCCQ32G1 32""",865.41,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-03-17 21:44:10,2024-08-26 05:03:36,2024-06-08 16:55:39,2024-08-25 23:51:01,865.41,865.41,lease_platform
97bfb90d-3013-47b7-93a7-119c759ba21d,54000019550707725X,610000199310275769,医药止咳药百日咳疫苗百日咳疫苗（儿童）,929.99,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-06-21 20:04:14,2024-03-21 03:06:46,9999,9999,929.99,0.0,lease_platform
6f00f0a8-1419-411f-862f-ece03cb0018c,420000195903311792,310000195103225110,鞋靴皮鞋克劳斯Klaus Oxfords,203.05,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-08-18 21:03:17,2025-08-16 15:38:08,9999,9999,203.05,0.0,lease_platform
fefcbcc8-1437-4b2e-bb44-8d362112e6d1,420000196712031506,530000197506034773,家电空调大金Daikin Floor Standing,376.32,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-01-20 10:54:02,2024-05-27 23:35:58,9999,9999,376.32,0.0,lease_platform
f4489c05-8779-40a3-8819-83d8b04ece50,110000199106014782,420000199505248298,家电洗衣机美的Midea Front Load,113.6,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-05-14 16:31:25,2025-12-04 03:07:58,9999,9999,113.6,0.0,lease_platform
7d0e19df-5a16-4ac3-a05e-6886182a16a3,640000199212048023,420000199505248298,女装连衣裙优衣库Uniqlo V-Neck Dress,174.37,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-06-01 03:12:28,2024-02-21 05:23:57,9999,9999,174.37,0.0,lease_platform
6d0db7b8-7fa5-4d34-bac0-d47531b978c5,370000196012251570,340000196110176716,女装裤子优衣库Uniqlo Skinny Jeans,761.43,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-06-19 00:58:10,2024-06-05 20:50:38,9999,9999,761.43,0.0,lease_platform
3e3da187-6cde-43b7-b8d3-32cbc50c04c5,420000196712031506,420000195903311792,女装连衣裙H&MH&M Basic Dress,700.04,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-06-19 11:29:27,2025-04-25 21:56:58,9999,9999,700.04,0.0,lease_platform
f44b9268-d519-46ab-8b18-55410d3e0d41,500000195111239972,610000199310275769,家具厨具微波炉美的MG20F30CN 20L,500.76,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-12-02 22:31:05,2024-11-26 20:28:21,9999,9999,500.76,0.0,lease_platform
5022b3e8-142f-43ff-bca7-889d90bbbf53,320000199806261839,340000198501274355,家居家装家居用品美克MK Collection Rugs,570.34,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-05-30 16:00:26,2025-09-22 23:41:25,9999,9999,570.34,0.0,lease_platform
d14b1be1-d51b-4191-bbc9-1cb0af7e6a55,340000196110176716,350000199312079231,母婴孕妇用品孕妇奶粉孕妇奶粉B,419.44,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-05-31 04:37:17,2025-06-18 19:24:27,9999,9999,419.44,0.0,lease_platform
b3d6251e-e784-4783-931b-a1604f0cb70a,340000196110176716,62000019660525105X,儿童用品孕妇用品GerberGerber Baby Food,524.28,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-01-07 06:40:47,2025-11-18 04:48:28,2025-05-03 05:50:12,2026-05-13 17:28:13,524.28,524.28,lease_platform
37e5a400-7027-4b31-a691-f960b8804490,500000198008232848,320000199806261839,家具厨具餐桌红苹果HH-101 Solid Wood,724.06,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-10-28 00:04:45,2025-01-01 06:10:35,9999,9999,724.06,0.0,lease_platform
217debf4-7fba-4a90-b653-4e1bb7595504,340000196110176716,640000199212048023,女装外套MangoMango Wool Blend Coat,893.44,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-10-09 11:37:59,2024-05-26 03:56:15,2024-02-04 11:14:28,2025-12-10 19:56:32,893.44,893.44,lease_platform
519b740c-7265-401b-80a6-a975b19a17fa,650000198704266577,500000198008232848,钟表珠宝手表欧米茄Omega Constellation,888.38,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-07-08 14:20:26,2024-12-11 06:05:05,9999,9999,888.38,0.0,lease_platform
0fadceb1-83ad-4f75-a80b-478ca3000d4b,360000196312107157,330000199103075978,钟表珠宝珠宝宝格丽Bvlgari Lvcea,287.53,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-10-10 10:31:18,2024-06-24 22:31:47,9999,9999,287.53,0.0,lease_platform
a0009fbd-cb66-4b7c-8e6f-84058c968de9,54000019550707725X,340000196110176716,电脑办公显示器LGUltraWide 34WN80C-B,842.09,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-02-20 21:57:54,2025-08-09 09:50:28,9999,9999,842.09,0.0,lease_platform
a8271d3b-5476-4954-941e-bbe764ce2688,330000199103075978,310000195103225110,保健运动健康飞利浦飞利浦剃须刀,240.09,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-06-01 22:09:19,2024-04-24 04:26:14,9999,9999,240.09,0.0,lease_platform
82f01f6c-2216-492c-b784-4c278370f7aa,360000196312107157,320000199806261839,美妆护肤彩妆ChanelChanel睫毛膏,236.11,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-04-18 06:02:32,2025-06-12 17:23:16,9999,9999,236.11,0.0,lease_platform
ab89c7f9-9688-40f1-b7f1-2e12da114c56,620000196903280203,500000198008232848,电脑办公机械键盘红龙K580 Vigor,997.64,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-03-08 14:11:10,2025-07-31 01:41:18,9999,9999,997.64,0.0,lease_platform
67223ada-501a-4381-a79d-918222c6d8f1,21000019810728250X,500000195111239972,家具厨具餐桌顾家HG-678 Modern,143.18,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-05-23 00:28:27,2024-05-23 15:01:12,9999,9999,143.18,0.0,lease_platform
8005654d-7c5b-4587-ba94-e5f26bad1812,340000195706277871,370000196012251570,鞋靴靴子SorelSorel Caribou,14.31,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-01-22 05:11:28,2025-04-21 10:12:12,9999,9999,14.31,0.0,lease_platform
edd1aba1-8d0d-4316-8974-e9e5dadf3031,420000195903311792,110000199604119763,箱包行李箱American TouristerAmerican Tourister Lock 'n' Pop,209.28,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-12-13 17:09:16,2024-11-15 02:03:24,9999,9999,209.28,0.0,lease_platform
53f4919c-b39d-4cd8-ae3d-d7a20db2e478,420000195903311792,62000019660525105X,箱包手提包Kate SpadeKate Spade Cameron Street,549.22,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-03-27 19:41:11,2024-06-04 02:13:53,9999,9999,549.22,0.0,lease_platform
5512bd7b-9237-44c3-8e9b-887071319441,360000196312107157,420000196712031506,女装外套H&MH&M Denim Jacket,824.29,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-10-01 08:53:19,2025-04-06 04:07:02,9999,9999,824.29,0.0,lease_platform
7a41a3a0-8e4c-4744-a9cc-d0ed637a8a2a,21000019810728250X,630000195108252323,家居家装家居用品全友全友窗帘,701.95,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-07-20 11:30:18,2024-07-26 06:41:55,9999,9999,701.95,0.0,lease_platform
272d4257-be35-4694-b666-668a1e36bd5b,320000199806261839,330000199103075978,文具用品笔记本Leuchtturm1917Leuchtturm1917 A5 Hardcover,517.53,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-08-01 01:11:54,2025-05-25 18:31:09,9999,9999,517.53,0.0,lease_platform
78f7c4d9-e9b2-47e0-9289-6a35b02dd969,370000196012251570,610000199310275769,家具厨具餐桌全友XJ-005 Rectangle,905.16,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-03-04 16:49:56,2024-04-28 05:19:10,9999,9999,905.16,0.0,lease_platform
