用户（身份证）,信用评级,平台类型
610000199310275769,15,AliPay
340000198501274355,26,AliPay
54000019550707725X,12,AliPay
110000198306195640,96,AliPay
360000196312107157,37,AliPay
21000019810728250X,82,AliPay
650000198704266577,78,AliPay
370000196012251570,73,AliPay
62000019660525105X,3,AliPay
330000199103075978,29,AliPay
420000195903311792,0,AliPay
310000195103225110,99,AliPay
110000199604119763,5,AliPay
420000199505248298,40,AliPay
620000195906244895,52,AliPay
500000198008232848,53,AliPay
340000195706277871,95,AliPay
500000195111239972,41,AliPay
630000195108252323,93,AliPay
450000197402288488,60,AliPay
110000199106014782,83,AliPay
350000199312079231,44,AliPay
450000196703256186,94,AliPay
230000198907202276,80,AliPay
620000196903280203,13,AliPay
530000197506034773,3,AliPay
340000196110176716,90,AliPay
320000199806261839,65,AliPay
420000196712031506,34,AliPay
640000199212048023,59,AliPay
220000197807281126,37,AliPay
630000197011252561,88,AliPay
130000195605169725,4,AliPay
610000195402083344,82,AliPay
120000197712129726,4,AliPay
230000197212158825,50,AliPay
540000197808283195,80,AliPay
620000198002222398,93,AliPay
140000196911079142,1,AliPay
140000199507198581,7,AliPay
620000199010115044,33,AliPay
640000198108055755,55,AliPay
430000198507249996,71,AliPay
320000197401215325,88,AliPay
520000198003108040,63,AliPay
62000019520624910X,82,AliPay
360000198908152046,47,AliPay
360000195710080805,34,AliPay
440000199911165061,79,AliPay
210000197602176400,96,AliPay
430000199909049086,91,AliPay
330000198310262536,7,AliPay
330000198809191693,45,AliPay
420000197007185184,90,AliPay
330000197602147228,41,AliPay
330000199012155411,39,AliPay
310000200209240638,92,AliPay
520000198603151923,6,AliPay
450000199908076465,10,AliPay
340000200205207027,5,AliPay
350000197705120427,69,AliPay
540000199408022606,10,AliPay
340000195502096761,99,AliPay
360000198704182710,40,AliPay
510000198802222921,74,AliPay
510000198803300178,6,AliPay
150000197209163332,22,AliPay
650000196112107805,74,AliPay
330000199107063501,68,AliPay
340000199608297121,13,AliPay
220000200112201462,53,AliPay
430000198908181400,65,AliPay
210000198607268704,27,AliPay
430000199405285624,78,AliPay
310000199712050940,87,AliPay
450000195803289239,83,AliPay
220000199302025652,13,AliPay
230000198802144911,59,AliPay
150000198111193730,94,AliPay
430000200103184671,8,AliPay
370000196605209159,1,AliPay
640000197012180039,23,AliPay
520000200504217798,81,AliPay
520000200407275486,100,AliPay
330000195904053519,46,AliPay
460000199906230184,61,AliPay
220000199502254599,22,AliPay
500000197512033640,14,AliPay
220000196809102131,41,AliPay
520000198904114253,65,AliPay
210000197001241035,85,AliPay
44000019941026706X,61,AliPay
510000197603015896,9,AliPay
