用户（身份证）,信用评级,平台类型
430000199203319718,56,CreditCard
530000197305076125,28,CreditCard
410000196201070675,92,CreditCard
12000019851214976X,29,CreditCard
140000199603036339,64,CreditCard
140000199006073035,12,CreditCard
360000199203233406,2,CreditCard
500000198704213368,54,CreditCard
410000197708165387,96,CreditCard
51000019840618859X,32,CreditCard
150000197612152000,33,CreditCard
500000197309297763,61,CreditCard
630000198603263402,71,CreditCard
510000195002119631,62,CreditCard
510000199911170096,61,CreditCard
450000195306039095,71,CreditCard
320000195608230857,71,CreditCard
210000197301221271,85,CreditCard
440000199601122197,85,CreditCard
53000019610415476X,70,CreditCard
31000019860721606X,8,CreditCard
330000199712086533,10,CreditCard
450000195407116686,31,CreditCard
130000198706174594,64,CreditCard
150000197111162649,92,CreditCard
440000200612307213,68,CreditCard
460000197111194192,18,CreditCard
540000199606038078,72,CreditCard
320000200509186364,38,CreditCard
330000200309122819,62,CreditCard
41000019520429440X,26,CreditCard
500000198006022273,73,CreditCard
130000199407150693,39,CreditCard
360000199105244531,93,CreditCard
540000196210200493,96,CreditCard
500000198507047858,8,CreditCard
320000195507194340,59,CreditCard
440000200408082336,51,CreditCard
310000196308071447,36,CreditCard
430000197811058022,0,CreditCard
510000200407279709,35,CreditCard
640000197311277666,10,CreditCard
120000197302221140,93,CreditCard
350000198603196687,86,CreditCard
350000198602018424,13,CreditCard
210000199109123777,54,CreditCard
450000197906047100,47,CreditCard
33000019520306213X,8,CreditCard
140000198510276718,100,CreditCard
220000196908209452,60,CreditCard
540000195407068284,18,CreditCard
540000200312131205,6,CreditCard
630000196405174530,82,CreditCard
210000196812032291,79,CreditCard
420000197804030759,0,CreditCard
520000200509229632,11,CreditCard
370000199909221249,48,CreditCard
35000019820319720X,15,CreditCard
650000197003108563,11,CreditCard
450000199310215256,92,CreditCard
110000199012032322,63,CreditCard
420000197612224233,71,CreditCard
650000195101103118,100,CreditCard
640000198907316448,33,CreditCard
230000195503197470,33,CreditCard
63000019820119650X,76,CreditCard
360000195010216679,5,CreditCard
340000198201237317,43,CreditCard
500000199907223456,76,CreditCard
510000198009041762,64,CreditCard
620000197001106876,42,CreditCard
370000198604168438,25,CreditCard
340000195604034342,96,CreditCard
220000197206113709,70,CreditCard
110000195611110443,36,CreditCard
340000196410290668,30,CreditCard
440000196102281608,61,CreditCard
510000197802019216,43,CreditCard
520000199503131962,88,CreditCard
120000200503284791,82,CreditCard
530000197601239849,53,CreditCard
630000195806149470,20,CreditCard
220000197609227962,28,CreditCard
41000020040525407X,83,CreditCard
220000200308112058,23,CreditCard
450000198901096143,37,CreditCard
370000195303233319,22,CreditCard
640000199310160254,76,CreditCard
530000199404055660,43,CreditCard
430000196809167882,40,CreditCard
220000199303105160,77,CreditCard
430000197207236734,45,CreditCard
460000199105228746,97,CreditCard
11000019801230635X,64,CreditCard
520000199312306432,16,CreditCard
150000195310029999,34,CreditCard
110000200012293085,97,CreditCard
150000199712027492,34,CreditCard
210000198709145772,24,CreditCard
41000019761008372X,62,CreditCard
630000197603162287,100,CreditCard
450000199706134890,64,CreditCard
610000195309303007,49,CreditCard
510000198401255183,30,CreditCard
450000197212137670,15,CreditCard
410000199607316712,73,CreditCard
37000019601013408X,62,CreditCard
460000197903299611,13,CreditCard
450000195906164244,14,CreditCard
150000200509131222,82,CreditCard
320000197504307548,23,CreditCard
150000197904147764,3,CreditCard
140000195902253765,77,CreditCard
510000198109178619,94,CreditCard
64000019890415763X,57,CreditCard
370000199404066351,81,CreditCard
370000195807061354,46,CreditCard
11000019711001986X,19,CreditCard
410000198410173645,65,CreditCard
620000200007035233,84,CreditCard
650000200107163588,52,CreditCard
410000198008302533,52,CreditCard
360000198301187269,100,CreditCard
340000200508137302,97,CreditCard
540000198603110244,3,CreditCard
110000200202277668,22,CreditCard
320000195306230384,37,CreditCard
150000200101147503,96,CreditCard
140000197705304462,2,CreditCard
520000197503063649,79,CreditCard
14000019820208719X,69,CreditCard
22000020040614992X,82,CreditCard
310000198008306936,22,CreditCard
530000198803123080,22,CreditCard
440000196308130709,5,CreditCard
140000199904261222,72,CreditCard
530000200612115520,24,CreditCard
320000197410083096,87,CreditCard
220000200011227540,26,CreditCard
520000199709300653,44,CreditCard
310000197005069758,22,CreditCard
520000199007114936,75,CreditCard
510000198108041362,98,CreditCard
630000197701215012,33,CreditCard
110000198303291768,50,CreditCard
110000200310226710,15,CreditCard
650000195211260069,16,CreditCard
430000196706291506,65,CreditCard
120000198008032220,56,CreditCard
510000197001166048,60,CreditCard
44000020031211476X,19,CreditCard
460000195711140260,6,CreditCard
120000198408132861,54,CreditCard
310000200608045303,50,CreditCard
340000197312299276,56,CreditCard
500000196907203267,35,CreditCard
13000019820515670X,48,CreditCard
360000197605311535,95,CreditCard
140000197701292927,74,CreditCard
500000197005063909,19,CreditCard
130000196412046248,84,CreditCard
43000019610126197X,87,CreditCard
230000197403071191,11,CreditCard
130000197707041414,35,CreditCard
540000200107015213,0,CreditCard
370000196402178348,100,CreditCard
220000198504147602,18,CreditCard
110000197601071734,61,CreditCard
37000019610614846X,42,CreditCard
230000198603259871,52,CreditCard
630000196107136042,87,CreditCard
620000196006046468,99,CreditCard
440000199712045227,31,CreditCard
370000196108021075,50,CreditCard
410000200603128058,25,CreditCard
360000196903259005,64,CreditCard
440000196206080472,59,CreditCard
450000200007227583,66,CreditCard
360000196311020180,30,CreditCard
220000195312069239,96,CreditCard
530000195102074219,22,CreditCard
500000196604284522,94,CreditCard
640000195508275577,62,CreditCard
340000200609265741,94,CreditCard
340000198210073350,100,CreditCard
220000199112290033,100,CreditCard
140000197401047583,33,CreditCard
360000196312160177,90,CreditCard
210000195412307562,19,CreditCard
230000200309043527,43,CreditCard
210000199304155977,37,CreditCard
110000198510208808,64,CreditCard
350000196108084646,36,CreditCard
340000198307014322,82,CreditCard
130000197404137873,18,CreditCard
630000196601183506,70,CreditCard
430000195408081223,34,CreditCard
150000195905190044,44,CreditCard
650000197806144912,17,CreditCard
610000196907082763,70,CreditCard
630000199901221520,59,CreditCard
630000200111038348,44,CreditCard
320000200510240057,68,CreditCard
440000198110290909,56,CreditCard
320000198507027028,95,CreditCard
430000200407147853,83,CreditCard
230000196411097522,37,CreditCard
53000019730601097X,82,CreditCard
370000198104222629,52,CreditCard
320000195509278441,24,CreditCard
520000200207061459,10,CreditCard
320000199807185882,10,CreditCard
620000195609278482,91,CreditCard
430000197805164259,48,CreditCard
520000196205258590,90,CreditCard
310000196108165609,24,CreditCard
430000198611153628,51,CreditCard
520000198404217889,30,CreditCard
530000199302041276,91,CreditCard
520000196512167605,58,CreditCard
450000195604284056,46,CreditCard
120000200304284414,17,CreditCard
430000196001017494,66,CreditCard
34000020010802304X,8,CreditCard
110000199712157740,96,CreditCard
640000200501293821,55,CreditCard
120000198108138612,59,CreditCard
340000195106208979,67,CreditCard
13000019810624451X,27,CreditCard
450000195401226315,65,CreditCard
320000197512226895,2,CreditCard
140000200610223947,67,CreditCard
610000200102232815,3,CreditCard
150000200612141824,57,CreditCard
320000197409160779,96,CreditCard
430000197009257622,63,CreditCard
430000195106099671,98,CreditCard
540000198609095364,74,CreditCard
630000196909242808,5,CreditCard
450000197902281127,83,CreditCard
440000199506059847,25,CreditCard
640000195303125604,33,CreditCard
340000198902239307,3,CreditCard
650000195808102741,98,CreditCard
140000195605091413,2,CreditCard
310000199402240909,17,CreditCard
430000197011228871,11,CreditCard
110000200506084064,83,CreditCard
130000196503204061,60,CreditCard
530000196909011176,47,CreditCard
650000199503252704,8,CreditCard
50000019800815048X,14,CreditCard
110000199311134863,47,CreditCard
130000200009033411,82,CreditCard
310000195603065918,75,CreditCard
360000195803050103,98,CreditCard
520000196109101024,64,CreditCard
630000199308240966,96,CreditCard
510000195304242678,67,CreditCard
650000200102155298,79,CreditCard
210000197701243824,88,CreditCard
510000196601112217,35,CreditCard
610000196007301991,60,CreditCard
230000199311069720,23,CreditCard
360000195412318360,1,CreditCard
430000198205095485,92,CreditCard
610000199107113991,74,CreditCard
140000196309219173,1,CreditCard
410000195501161830,83,CreditCard
110000199009246362,19,CreditCard
310000195802206883,35,CreditCard
350000196204086748,11,CreditCard
450000197604244950,53,CreditCard
360000198706135897,14,CreditCard
46000019670326863X,85,CreditCard
460000196604168561,75,CreditCard
500000198502092625,2,CreditCard
230000197512298010,84,CreditCard
530000195102085962,20,CreditCard
330000197201075470,5,CreditCard
330000195604119563,75,CreditCard
320000199403088234,49,CreditCard
640000198811204329,22,CreditCard
320000196402218347,0,CreditCard
150000198812303197,72,CreditCard
510000195309248892,48,CreditCard
440000195408074025,43,CreditCard
620000197412179471,9,CreditCard
220000195302069577,56,CreditCard
440000195511152458,53,CreditCard
210000199612255494,67,CreditCard
640000198409188965,26,CreditCard
230000198510201160,74,CreditCard
640000195901077753,86,CreditCard
650000195603059460,59,CreditCard
610000196404075625,94,CreditCard
610000198503100733,7,CreditCard
130000198312101026,13,CreditCard
520000199807068392,97,CreditCard
130000200001037733,69,CreditCard
220000196904304743,1,CreditCard
610000196005057999,44,CreditCard
610000198410124920,65,CreditCard
650000196007190619,81,CreditCard
630000195002087593,78,CreditCard
120000195405313516,86,CreditCard
640000197902013507,13,CreditCard
540000196712058079,82,CreditCard
370000199601178408,24,CreditCard
130000196508276144,32,CreditCard
420000198103137929,55,CreditCard
340000196102010863,2,CreditCard
370000198606217950,97,CreditCard
640000198610099489,33,CreditCard
460000199109275347,11,CreditCard
410000200209088748,37,CreditCard
330000197907286771,14,CreditCard
620000199812195461,98,CreditCard
14000019801228909X,74,CreditCard
320000196607301136,77,CreditCard
440000198105282875,32,CreditCard
610000198806294766,25,CreditCard
460000197705175159,46,CreditCard
610000197603281020,0,CreditCard
36000019960826143X,80,CreditCard
420000200312237213,55,CreditCard
540000197905177669,95,CreditCard
210000198908010491,39,CreditCard
330000197410131184,39,CreditCard
120000197806119342,16,CreditCard
540000196508168481,24,CreditCard
420000196907229387,39,CreditCard
450000196904032859,31,CreditCard
150000195612118604,71,CreditCard
110000198905281436,81,CreditCard
500000197706219216,8,CreditCard
410000199008086855,98,CreditCard
220000197702034110,12,CreditCard
120000195705162991,55,CreditCard
410000198012282758,15,CreditCard
410000196101247269,64,CreditCard
530000200003149215,5,CreditCard
330000200309012863,93,CreditCard
500000197710245978,70,CreditCard
530000198110017234,38,CreditCard
22000019510325020X,30,CreditCard
500000196007190392,39,CreditCard
