用户（身份证）,信用评级,平台类型
440000198012271800,89,WeChat
220000200302243057,27,WeChat
500000197410068201,0,WeChat
370000196611211722,17,WeChat
130000196704163374,29,WeChat
650000198802117065,72,WeChat
43000019680109333X,71,WeChat
650000195607194141,22,WeChat
210000196807270375,69,WeChat
150000196110134801,59,WeChat
450000200207101176,15,WeChat
140000198504228023,93,WeChat
140000200404238478,27,WeChat
350000196711064420,44,WeChat
43000019511206845X,23,WeChat
520000199402217505,3,WeChat
330000200007101772,36,WeChat
150000195706240192,92,WeChat
640000199308068133,60,WeChat
430000200111039466,81,WeChat
540000197410170668,7,WeChat
520000195509046744,15,WeChat
320000195011239576,72,WeChat
370000199811130525,75,WeChat
330000198501161543,53,WeChat
610000199512181998,66,WeChat
340000198409054894,76,WeChat
450000199004203804,5,WeChat
460000199406068002,54,WeChat
540000200201199709,26,WeChat
63000019611222088X,79,WeChat
310000196305249975,87,WeChat
620000198004258909,13,WeChat
620000196502152905,58,WeChat
460000200010215614,58,WeChat
500000196607256666,86,WeChat
150000195802183757,6,WeChat
22000019570111227X,63,WeChat
450000195603183122,54,WeChat
110000198509274840,46,WeChat
350000199212157685,3,WeChat
340000195411258657,38,WeChat
230000197504099716,18,WeChat
340000196803233429,19,WeChat
220000200501268329,72,WeChat
52000019981218518X,61,WeChat
500000196503243457,79,WeChat
230000196807138546,28,WeChat
620000197807062729,68,WeChat
340000197105119180,10,WeChat
440000196308265769,63,WeChat
54000019880614783X,17,WeChat
140000197601059482,6,WeChat
140000200108105830,16,WeChat
43000019830417981X,71,WeChat
500000195612162192,14,WeChat
640000195806242060,52,WeChat
520000195505023844,91,WeChat
630000200203216404,86,WeChat
460000197612145719,56,WeChat
120000197302050791,65,WeChat
520000197109241515,22,WeChat
640000195003084396,33,WeChat
420000200205196161,25,WeChat
410000198308136952,1,WeChat
620000195302036980,59,WeChat
210000196408203941,98,WeChat
610000195603070574,34,WeChat
130000197712237948,0,WeChat
150000197310046296,86,WeChat
34000019850617621X,46,WeChat
350000197003311368,76,WeChat
430000196805156553,45,WeChat
530000197506285361,74,WeChat
440000197406144631,17,WeChat
610000198010138936,69,WeChat
620000199603157493,97,WeChat
320000196908018828,69,WeChat
460000199304189137,49,WeChat
510000195006254574,62,WeChat
130000195607019843,47,WeChat
430000197507073033,96,WeChat
360000195004123839,54,WeChat
330000199801294908,100,WeChat
440000199901151811,49,WeChat
520000195607077448,94,WeChat
140000197603069270,70,WeChat
630000198212217396,24,WeChat
330000197808279429,93,WeChat
310000200204209420,55,WeChat
440000197907157705,65,WeChat
410000197003085811,29,WeChat
620000200505131762,64,WeChat
23000019990206645X,81,WeChat
150000199701247318,81,WeChat
120000198708079572,0,WeChat
370000195110299610,90,WeChat
310000195902011629,2,WeChat
520000199107305086,19,WeChat
540000198208125884,47,WeChat
130000199104155198,25,WeChat
530000200002261854,90,WeChat
360000198808230203,86,WeChat
110000197102054470,81,WeChat
35000019730604237X,13,WeChat
310000196211070544,66,WeChat
51000020030130227X,88,WeChat
110000196207250254,1,WeChat
320000197811044899,69,WeChat
640000199509039443,11,WeChat
210000198501167446,17,WeChat
130000200412077561,97,WeChat
12000019800928039X,65,WeChat
