Order_ID_lease_platform,Real_Name_User(ID Card),Seller_Information(ID Card),Product_Information_lease_platform,Product_Amount_lease_platform,Order_Creation_Time_lease_platform,Payment_Time_lease_platform,Shipping_Time_lease_platform,Receiving_Time_lease_platform,Refund_Time_lease_platform,Return_Time_lease_platform,Payment_Amount_lease_platform,Refund_Amount_lease_platform,Platform_Type_lease_platform
a51121f4-1764-4386-898d-2781f367d6c5,410000195503052136,150000197602107513,家具厨具餐桌顾家FA-567 Oak,454.14,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-03-24 19:49:26,2025-10-30 20:30:42,9999,9999,454.14,0.0,lease_platform
c66f6aa1-a81a-497b-b2dc-3bd8b2562597,630000195107244604,440000198407107968,文具用品文件夹LeitzLeitz MyBox,735.97,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-05-21 09:01:22,2024-12-23 23:48:43,9999,9999,735.97,735.97,lease_platform
6c39b421-4a92-4775-ac50-4b582977644a,150000199710273526,650000198006235511,鞋靴运动鞋阿迪达斯Adidas NMD,38.84,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-01-24 12:59:19,2025-04-30 01:31:03,9999,9999,38.84,38.84,lease_platform
38d7385d-9cd4-4c9c-a27f-987eb9879739,410000195503052136,230000199509257321,母婴孕妇用品母乳喂养母乳喂养手套,391.2,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-04-01 04:31:45,2024-09-15 12:39:29,9999,9999,391.2,0.0,lease_platform
daab742a-7eaa-4887-918e-658bee6d7958,140000195811056213,540000200203257079,食品酒饮饮料可口可乐可口可乐零糖,575.68,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-11-12 08:17:47,2024-01-27 07:10:05,9999,9999,575.68,575.68,lease_platform
b9c84399-908b-4ba5-beed-60f1f59c911c,150000199710273526,150000197602107513,箱包手提包GucciGucci Jackie 1961,405.54,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-03-10 04:38:38,2024-06-05 15:09:19,9999,9999,405.54,405.54,lease_platform
54b1446e-a464-4732-90cd-c385db89e53a,64000019700729236X,440000198407107968,手机智能手机三星Galaxy A54,109.4,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-01-19 07:39:23,2025-12-20 21:22:06,9999,9999,109.4,109.4,lease_platform
17acf9bb-beb1-4975-8200-c935ca7429e8,530000199910230767,370000197612142612,家具厨具沙发曲美Milan Leather,808.44,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-07-24 19:17:50,2024-08-10 09:11:12,9999,9999,808.44,808.44,lease_platform
2e3fbcfc-8ae9-4fa6-903e-8db5f0fdce7f,140000195811056213,460000200405183418,文具用品文件夹LeitzLeitz MyBox,751.68,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-08-15 12:11:07,2024-03-25 04:20:11,9999,9999,751.68,751.68,lease_platform
b9222fff-8ef7-4693-bfdf-1d815e6030d2,630000195107244604,230000199509257321,女装裤子MangoMango High-Waisted Jeans,88.14,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-01-19 02:35:36,2025-12-28 02:12:24,9999,9999,88.14,0.0,lease_platform
1634b115-db23-4ed5-9d73-486a5490c506,340000197101135407,650000198006235511,运动户外户外装备狮子头Lion Head Outdoor Gear,723.18,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-01-12 04:15:10,2025-11-26 01:26:03,9999,9999,723.18,0.0,lease_platform
1ec4e790-4ee0-4322-95ef-b2b974456d6d,540000195702172287,460000200405183418,鞋靴靴子UGGUGG Classic Short,635.79,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-02-23 21:57:35,2025-12-25 11:47:16,9999,9999,635.79,0.0,lease_platform
4dd176ef-9dfb-4e65-a3db-46c1a287e788,630000195107244604,420000197002138573,食品酒饮酒类洋河洋河小曲,798.74,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-11-30 17:50:54,2025-12-27 23:56:58,9999,9999,798.74,0.0,lease_platform
60128cc2-8bfe-45ca-85da-77153f6fe9c5,530000199910230767,610000195709299553,个护清洁沐浴露力士力士清爽沐浴露,622.57,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-09-26 15:18:56,2024-01-20 05:20:45,9999,9999,622.57,622.57,lease_platform
3e636f6e-9bb1-4efb-a1dc-18f4beddfd50,530000199910230767,610000195709299553,鞋靴皮鞋艾德Ad Formal Shoes,51.49,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-08-01 20:55:31,2024-01-07 20:47:12,9999,9999,51.49,0.0,lease_platform
8c0be0b7-2cf5-4bc9-8b2b-00d1c136d8ec,530000199910230767,650000198006235511,钟表珠宝珠宝周大生周大生钻石耳环,628.04,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-04-03 17:09:38,2024-09-04 17:09:08,9999,9999,628.04,628.04,lease_platform
e9f58fa1-54da-4ea4-b3d9-9118caae950f,630000195107244604,150000197602107513,家电电视索尼Sony X900H,633.78,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-04-11 12:06:31,2025-02-13 16:20:27,9999,9999,633.78,633.78,lease_platform
03d18d3a-f433-4677-9774-1b7e97a29cd1,13000020031014011X,440000198407107968,运动户外健身器材飞利浦Philips Blender,896.17,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-04-04 09:50:07,2025-12-10 02:15:06,9999,9999,896.17,0.0,lease_platform
98686943-b1d5-4f44-a2c9-e30ddf55f8f6,140000195811056213,230000199509257321,美妆护肤护肤品兰蔻兰蔻青春水,147.03,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-08-13 21:32:43,2025-03-13 02:00:31,9999,9999,147.03,147.03,lease_platform
58b39912-bf66-439f-937b-16e6e55217b4,510000197907301576,460000200405183418,家居家装家居用品全友全友窗帘,822.76,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-07-18 18:05:42,2025-07-14 04:09:40,9999,9999,822.76,0.0,lease_platform
6963f509-7d78-41db-b373-08f8fe5c12ea,530000199910230767,440000198407107968,文具用品笔记本PaperblanksPaperblanks Ultra,281.33,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-09-23 03:07:06,2025-12-25 17:23:34,9999,9999,281.33,0.0,lease_platform
05e401cd-299b-474c-af9e-63d1637b3c0f,140000195811056213,120000199806113230,家居家装家具全友J-007 Round Table,702.21,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-04-12 09:33:46,2025-09-15 04:17:54,9999,9999,702.21,702.21,lease_platform
4b006a67-cdbe-45ee-a724-f89478b3a878,540000195702172287,230000199509257321,保健营养补充健安喜健安喜多种维生素,837.27,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-05-04 18:30:44,2024-05-01 14:26:15,9999,9999,837.27,0.0,lease_platform
a7c4a962-4524-4ebe-8f24-869fd21398f5,530000199910230767,610000195709299553,医药感冒药感冒灵感冒灵颗粒,703.4,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-07-01 01:00:32,2025-08-05 02:33:41,9999,9999,703.4,0.0,lease_platform
