用户（身份证）,信用评级,平台类型
510000200505234731,29,AliPay
620000200309106228,53,AliPay
420000197109027814,52,AliPay
650000196009115866,74,AliPay
21000020020320937X,9,AliPay
21000020050119142X,51,AliPay
120000199508060679,76,AliPay
130000200408028927,60,AliPay
54000019630923655X,45,AliPay
530000197510068079,0,AliPay
310000195102069582,46,AliPay
310000197101127065,44,AliPay
440000196803217852,13,AliPay
420000196402090850,51,AliPay
14000019780210012X,52,AliPay
420000197902037372,25,AliPay
340000196005201625,85,AliPay
130000196502042486,81,AliPay
450000199310318757,51,AliPay
53000019770921351X,3,AliPay
