用户（身份证）,信用评级,平台类型
510000200505234731,7,CreditCard
620000200309106228,100,CreditCard
420000197109027814,20,CreditCard
650000196009115866,24,CreditCard
21000020020320937X,84,CreditCard
21000020050119142X,6,CreditCard
120000199508060679,42,CreditCard
130000200408028927,89,CreditCard
54000019630923655X,53,CreditCard
530000197510068079,79,CreditCard
310000195102069582,50,CreditCard
310000197101127065,23,CreditCard
440000196803217852,97,CreditCard
420000196402090850,55,CreditCard
14000019780210012X,99,CreditCard
420000197902037372,32,CreditCard
340000196005201625,82,CreditCard
130000196502042486,86,CreditCard
450000199310318757,38,CreditCard
53000019770921351X,100,CreditCard
