用户（身份证）,信用评级,平台类型
510000200505234731,52,WeChat
620000200309106228,82,WeChat
420000197109027814,55,WeChat
650000196009115866,30,WeChat
21000020020320937X,31,WeChat
21000020050119142X,71,WeChat
120000199508060679,79,WeChat
130000200408028927,24,WeChat
54000019630923655X,5,WeChat
530000197510068079,99,WeChat
310000195102069582,24,WeChat
310000197101127065,66,WeChat
440000196803217852,33,WeChat
420000196402090850,20,WeChat
14000019780210012X,92,WeChat
420000197902037372,17,WeChat
340000196005201625,34,WeChat
130000196502042486,40,WeChat
450000199310318757,58,WeChat
53000019770921351X,74,WeChat
