ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss
610000198902078983,21,2,0,3,1,5168.15
110000197807035632,15,2,0,1,3,3948.1399999999994
520000197004058319,23,5,0,4,2,8424.449999999999
510000197901104651,14,0,0,3,2,4031.08
340000199203195944,16,7,0,0,0,4519.37
460000197010013428,18,1,0,2,2,3339.1999999999994
120000195003202354,17,5,0,1,3,4246.830000000001
540000197103264349,14,2,0,3,1,6343.02
210000198403259857,16,4,0,1,4,7782.209999999999
620000199601308403,10,1,0,0,1,776.74
