ID,Total_Count,Refund_Only_Count,Rental_Not_Returned_Count,Partial_Payment_After_Receipt_Count,Payment_Without_Delivery_Count,Amount_of_Loss
610000198902078983,17,2,0,1,2,4265.07
340000199203195944,9,0,0,1,1,1769.89
520000197004058319,14,2,0,1,1,4952.629999999999
210000198403259857,17,1,0,0,2,1704.8000000000002
620000199601308403,18,2,0,2,1,4040.8499999999995
110000197807035632,21,3,0,2,3,5742.49
460000197010013428,24,7,0,0,4,6587.0199999999995
540000197103264349,18,5,0,2,3,8746.480000000001
510000197901104651,13,4,0,2,0,5030.0199999999995
120000195003202354,19,3,0,1,2,4256.04
