订单号,实名用户（身份证）,商家信息（身份证）,商品信息,商品金额,订单生成时间,付款时间,发货时间,收货时间,退款时间,退货时间,付款金额,退款金额,平台类型
cc73b3a1-035d-4276-99b9-982163f23970,510000195211017797,230000195505248796,文具用品笔PilotPilot Vanishing Point,672.04,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-06-30 08:11:51,2025-04-28 02:43:52,9999,9999,672.04,0.0,JD
f5fa24fc-3e52-4d61-bebf-a21ab105f7cc,430000198909153540,360000197211090303,保健运动健康舒华舒华跑步机,218.64,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-11-26 11:38:19,2025-04-14 15:26:23,9999,9999,218.64,218.64,JD
213eb11e-dfbe-4b05-b484-52c58778cb04,340000195503285230,62000019980109944X,箱包手提包Kate SpadeKate Spade Cameron Street,438.25,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-01-13 08:00:08,2024-06-14 15:40:07,9999,9999,438.25,438.25,JD
beed2022-4a28-46da-ad1b-c73f08a5c975,460000196405057498,230000195505248796,运动户外运动鞋安德玛Under Armour Curry,316.24,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-02-13 23:38:34,2025-08-15 01:01:30,9999,9999,316.24,0.0,JD
29b8cdc7-7771-4a95-aed6-1225842258f2,340000195503285230,360000200203183467,鞋靴运动鞋安德玛Under Armour HOVR,507.16,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-10-15 13:44:41,2024-11-18 20:18:57,9999,9999,507.16,0.0,JD
b0569998-4be9-4b8e-8490-562441697d50,510000195211017797,370000199508040199,个护清洁洗发水欧莱雅欧莱雅顺滑亮泽,172.75,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-11-26 00:25:50,2025-01-27 01:55:50,9999,9999,172.75,0.0,JD
d4cb2cf5-e138-4086-bf59-78ae7bfe199c,220000198711255008,310000196104155243,个护清洁沐浴露力士力士柔滑沐浴露,394.72,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-07-12 14:35:53,2024-01-10 20:48:00,9999,9999,394.72,394.72,JD
4aad3c8f-b511-4392-92fa-06198178535d,460000196405057498,130000200103283601,家居家装家具曲美Milan Leather Sofa,901.62,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-06-11 07:01:25,2024-04-25 00:23:32,9999,9999,901.62,0.0,JD
34af85bd-7e0b-4325-9eb1-db4a719f1cde,150000199407235068,230000195505248796,美妆护肤护肤品欧莱雅欧莱雅清润保湿,730.55,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-11-13 18:52:48,2025-08-05 22:02:21,9999,9999,730.55,0.0,JD
770bd284-7cf5-4a91-a0db-9e5528ded598,510000195211017797,360000197211090303,保健营养补充菲利普菲利普维生素E,464.82,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-08-23 03:55:43,2025-12-14 05:03:58,9999,9999,464.82,0.0,JD
