订单号,实名用户（身份证）,商家信息（身份证）,商品信息,商品金额,订单生成时间,付款时间,发货时间,收货时间,退款时间,退货时间,付款金额,退款金额,平台类型
5d4a5a91-c960-4684-b78e-57d5cc5a1617,430000198909153540,230000195505248796,食品酒饮饮料可口可乐可口可乐樱桃味,260.91,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-08-27 11:01:15,2024-12-15 10:38:57,9999,9999,260.91,260.91,TB
224fa123-bc3f-45cc-942b-7141d2ca1433,540000198308232492,620000196908058273,女装外套Forever 21Forever 21 Cardigan,239.95,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-05-30 05:10:22,2024-07-28 19:19:59,9999,9999,239.95,0.0,TB
73a8d174-ac7b-48ed-b4b9-d8616de6af2b,510000195211017797,310000196104155243,母婴婴儿用品奶粉婴儿奶粉2段,322.4,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-05-01 03:28:39,2024-02-08 00:08:45,9999,9999,322.4,322.4,TB
bac3c567-8cfd-46d4-8a3f-2a3404a44b29,430000198909153540,310000196104155243,美妆护肤彩妆ChanelChanel唇膏,97.46,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-06-02 05:43:12,2024-11-29 16:04:30,9999,9999,97.46,97.46,TB
091713c0-3e33-451b-91b1-c4074d45b83b,150000199407235068,410000198801137692,钟表珠宝珠宝周大生周大生珍珠项链,985.22,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-12-09 05:15:16,2024-02-18 00:26:24,9999,9999,985.22,985.22,TB
858ef643-45c2-4d7f-8b97-c532215eb11a,340000195503285230,310000196104155243,个护清洁洗发水霸王霸王防脱发,331.14,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-04-08 06:18:04,2025-11-08 04:42:59,9999,9999,331.14,331.14,TB
e2e91618-0db0-4d06-af51-07bcd8189dc3,110000196101048883,230000195505248796,医药维生素复合维生素复合维生素A,447.59,2024-07-23 23:28:34,2024-07-23 23:28:34,2025-11-15 05:44:03,2024-02-22 00:08:23,9999,9999,447.59,447.59,TB
4fcc5fd1-965b-46e5-aefc-df18583853b4,540000198308232492,330000197908080644,手机智能手机苹果iPhone 13 Pro,628.32,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-11-17 17:51:11,2025-09-17 01:50:46,9999,9999,628.32,628.32,TB
ebaff0f3-ab42-4c55-ba80-09263994c0be,460000196405057498,230000195505248796,女装裤子Forever 21Forever 21 Paperbag Waist Pants,298.71,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-10-18 06:40:34,2025-04-01 22:15:17,9999,9999,298.71,298.71,TB
be30be6a-8538-485d-83e4-81c89c58fa73,150000199407235068,410000198801137692,手机手机配件极客修充电宝,112.82,2024-07-23 23:28:34,2024-07-23 23:28:34,2024-10-25 11:53:08,2024-04-21 08:08:23,9999,9999,112.82,112.82,TB
