用户（身份证）,信用评级,平台类型
540000198308232492,71,CreditCard
150000199407235068,17,CreditCard
220000198711255008,72,CreditCard
110000196205264476,7,CreditCard
430000198909153540,49,CreditCard
230000197005258356,89,CreditCard
110000196101048883,8,CreditCard
510000195211017797,83,CreditCard
460000196405057498,60,CreditCard
340000195503285230,2,CreditCard
360000197211090303,23,CreditCard
230000195505248796,24,CreditCard
310000196104155243,91,CreditCard
330000197908080644,76,CreditCard
370000199508040199,1,CreditCard
62000019980109944X,33,CreditCard
130000200103283601,15,CreditCard
620000196908058273,19,CreditCard
410000198801137692,84,CreditCard
360000200203183467,1,CreditCard
