用户（身份证）,信用评级,平台类型
540000198308232492,72,WeChat
150000199407235068,16,WeChat
220000198711255008,22,WeChat
110000196205264476,90,WeChat
430000198909153540,92,WeChat
230000197005258356,57,WeChat
110000196101048883,57,WeChat
510000195211017797,31,WeChat
460000196405057498,11,WeChat
340000195503285230,36,WeChat
360000197211090303,30,WeChat
230000195505248796,39,WeChat
310000196104155243,70,WeChat
330000197908080644,29,WeChat
370000199508040199,99,WeChat
62000019980109944X,89,WeChat
130000200103283601,54,WeChat
620000196908058273,5,WeChat
410000198801137692,27,WeChat
360000200203183467,89,WeChat
